plan_day,base_cost_yuan,up_cost_yuan,down_cost_yuan,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan,q0_kwh,qfinal_kwh,u_kwh,r_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_supply_kwh,initial_soc_kwh,end_soc_kwh,asset_adjusted_cost_yuan,interval_count
2025-03-20,38952.9422408185,2974.929675178155,0.0,41927.87191599666,0.0,41927.87191599666,63553.6176615427,66508.5468361514,2954.929174608702,0.0,20642.55084217849,17071.59932977623,0.0,728.633507082482,4868.337032358806,4478.189090568076,42110.617211931436,144
2025-06-21,22535.00649502012,0.0,-480.36312164452397,22054.643373375595,0.0,22054.643373375595,35760.866226181075,34715.6476308361,0.0,1045.2185953449712,16086.282818774078,12425.178337150006,0.0,11719.802749212035,7380.996851899632,8052.897680851853,21739.925025094373,144
2025-09-23,40660.26021106641,2835.492137718748,-89.64131881488912,43406.11102997026,42.99618749999924,43449.107217470264,64745.975333263676,66933.07132530467,2581.576977961772,394.4809859207818,21673.27077766018,17477.055899391667,6.374999999999886,626.6158637028243,4454.431999360454,4541.424699930553,43408.35983652323,144
2025-12-21,64326.024676492765,0.0,0.0,64326.024676492765,0.0,64326.024676492765,99689.53863206934,99689.53863206934,0.0,0.0,23446.87316594308,18944.3833708,0.0,6149.266970259588,4905.205446206791,4958.07643911111,64301.25990341638,144
