day_index,candidate_count,candidate_solve_seconds_sum,max_source_pool_residual
0,15,0.46433405991410837,2.2737367544323206e-13
1,15,0.217038520029746,2.2737367544323206e-13
2,15,0.20850783493369818,2.2737367544323206e-13
3,15,0.37745451199589297,1.5631940186722204e-13
4,15,0.557642399915494,2.2737367544323206e-13
5,15,1.022325097117573,4.547473508864641e-13
6,15,1.3711981060332619,2.984279490192421e-13
7,15,1.430486512137577,5.684341886080801e-13
8,15,2.080592602083925,4.547473508864641e-13
9,15,2.006339112005662,3.410605131648481e-13
10,15,2.0335204271250404,3.410605131648481e-13
11,15,3.1153169560129754,5.684341886080801e-13
12,15,3.054704282025341,5.684341886080801e-13
13,15,3.0433729119831696,5.684341886080801e-13
14,15,3.128091654041782,4.547473508864641e-13
15,15,2.9308889370877296,5.684341886080801e-13
16,15,2.667372456926387,3.410605131648481e-13
17,15,2.9549837310332805,3.410605131648481e-13
18,15,2.8347936389036477,5.684341886080801e-13
19,15,2.7510918619809672,5.684341886080801e-13
20,15,3.185376155131962,4.547473508864641e-13
21,15,2.992047958949115,4.547473508864641e-13
22,15,3.01850114291301,4.547473508864641e-13
23,15,3.1598390781437047,5.684341886080801e-13
24,15,2.8633906639297493,4.547473508864641e-13
25,15,2.765491621219553,4.547473508864641e-13
26,15,2.9064984209253453,4.547473508864641e-13
27,15,2.917065483110491,4.547473508864641e-13
28,15,2.8475704919546843,4.547473508864641e-13
29,15,2.77017312287353,4.547473508864641e-13
30,15,2.612501375901047,4.547473508864641e-13
31,15,2.8297179380897433,4.547473508864641e-13
32,15,2.9082048451527953,4.547473508864641e-13
33,15,3.361690179153811,4.547473508864641e-13
34,15,2.7763472779188305,4.547473508864641e-13
35,15,3.367519276042003,4.547473508864641e-13
36,15,3.4032824470777996,4.547473508864641e-13
37,15,3.0956537619931623,4.547473508864641e-13
38,15,2.610957589058671,4.547473508864641e-13
39,15,2.9254378908663057,4.547473508864641e-13
40,15,3.207171836984344,4.547473508864641e-13
41,15,3.08647232002113,4.547473508864641e-13
42,15,2.9216910890536383,5.684341886080801e-13
43,15,3.1623621179605834,6.821210263296962e-13
44,15,2.9508171451161616,4.547473508864641e-13
45,15,2.644619808997959,4.547473508864641e-13
46,15,3.0778025820618495,6.252776074688882e-13
47,15,2.833466042939108,4.547473508864641e-13
48,15,2.6670496148290113,4.547473508864641e-13
49,15,3.195546322967857,4.547473508864641e-13
50,15,3.239716312091332,4.547473508864641e-13
51,15,2.5698852289351635,4.547473508864641e-13
52,15,2.5618284600786865,4.547473508864641e-13
53,15,2.8769875671132468,4.547473508864641e-13
54,15,2.6025292819249444,4.547473508864641e-13
55,15,2.9335940079181455,4.547473508864641e-13
56,15,2.7567632358986884,4.547473508864641e-13
57,15,2.675479032972362,4.547473508864641e-13
58,15,2.2526210689684376,4.547473508864641e-13
59,15,2.3247271410073154,4.547473508864641e-13
60,15,3.1118463620659895,4.547473508864641e-13
61,15,3.0102197689702734,4.547473508864641e-13
62,15,2.7502858081134036,4.547473508864641e-13
63,15,2.8002159160678275,4.547473508864641e-13
64,15,3.6135227579507045,3.410605131648481e-13
65,15,1.853800972981844,2.2737367544323206e-13
66,15,1.9855067950556986,2.2737367544323206e-13
67,15,3.0185922959353775,4.547473508864641e-13
68,15,3.3636444830335677,2.2737367544323206e-13
69,15,3.0298852809355594,4.547473508864641e-13
70,15,2.8379232372390106,4.547473508864641e-13
71,15,3.1995946659590118,4.547473508864641e-13
72,15,2.357626747980248,2.2737367544323206e-13
73,15,1.8787682399852201,2.2737367544323206e-13
74,15,3.077589667052962,2.2737367544323206e-13
75,15,2.592531319882255,2.471911564327911e-13
76,15,2.8549469780991785,4.547473508864641e-13
77,15,3.016872536041774,4.547473508864641e-13
78,15,3.2590422569192015,2.802202914153895e-13
79,15,2.2513394029811025,2.2737367544323206e-13
80,15,1.8537351170089096,2.2737367544323206e-13
81,15,3.2682728669024073,4.547473508864641e-13
82,15,3.2385012700688094,4.547473508864641e-13
83,15,2.8340374319814146,2.2737367544323206e-13
84,15,3.4730892670340836,4.547473508864641e-13
85,15,2.414416954095941,2.2737367544323206e-13
86,15,1.831164115050342,2.2737367544323206e-13
87,15,1.8319043538649566,2.2737367544323206e-13
88,15,3.005833716946654,4.547473508864641e-13
89,15,2.5810782850021496,2.2737367544323206e-13
90,15,3.5543329949723557,4.547473508864641e-13
91,15,2.4336454098811373,2.2737367544323206e-13
92,15,2.248386602906976,4.547473508864641e-13
93,15,2.0328743319842033,2.2737367544323206e-13
94,15,1.8831847740220837,2.2737367544323206e-13
95,15,3.7850425260839984,4.547473508864641e-13
96,15,3.575491210911423,4.547473508864641e-13
97,15,2.4798447559587657,2.2737367544323206e-13
98,15,2.56769669795176,4.547473508864641e-13
99,15,2.6705659400322475,4.547473508864641e-13
100,15,1.7876334641478024,2.2737367544323206e-13
101,15,1.7302946259151213,2.2737367544323206e-13
102,15,2.818122469005175,4.547473508864641e-13
103,15,3.028342658886686,4.547473508864641e-13
104,15,2.647359323047567,2.2737367544323206e-13
105,15,2.3685907620820217,4.547473508864641e-13
106,15,2.9784516440704465,4.547473508864641e-13
107,15,1.6941344260121696,2.2737367544323206e-13
108,15,1.6867375088622794,2.2737367544323206e-13
109,15,3.254255685955286,2.2737367544323206e-13
110,15,2.6509090079343878,2.2737367544323206e-13
111,15,2.5747321829549037,2.2737367544323206e-13
112,15,2.7466157678863965,4.547473508864641e-13
113,15,2.8210393069894053,4.547473508864641e-13
114,15,1.699789534904994,2.2737367544323206e-13
115,15,1.7276447380427271,2.2737367544323206e-13
116,15,3.1059396648197435,2.2737367544323206e-13
117,15,2.2120396160753444,2.7000623958883807e-13
118,15,3.0265961639233865,2.2737367544323206e-13
119,15,2.278822935069911,4.547473508864641e-13
120,15,2.396305552101694,2.2737367544323206e-13
121,15,1.8044640059233643,2.2737367544323206e-13
122,15,1.8033699549851008,2.2737367544323206e-13
123,15,2.2586476950673386,4.547473508864641e-13
124,15,2.279894445091486,2.2737367544323206e-13
125,15,3.097165312967263,4.547473508864641e-13
126,15,2.66030430898536,4.547473508864641e-13
127,15,2.5260544259217568,2.2737367544323206e-13
128,15,1.8265506410971284,2.2737367544323206e-13
129,15,1.8151948421727866,2.2737367544323206e-13
130,15,2.3779563960270025,2.2737367544323206e-13
131,15,2.6576021849177778,2.2737367544323206e-13
132,15,3.083268492948264,4.547473508864641e-13
133,15,2.596221905958373,2.2737367544323206e-13
134,15,2.8337095110327937,2.2737367544323206e-13
135,15,1.8269641860970296,2.2737367544323206e-13
136,15,1.807969314046204,2.2737367544323206e-13
137,15,2.3888572430005297,2.8421709430404007e-13
138,15,2.4964709877967834,4.547473508864641e-13
139,15,2.884390271094162,4.547473508864641e-13
140,15,3.0431553419912234,2.2737367544323206e-13
141,15,2.536292864824645,2.5579538487363607e-13
142,15,1.7480750210233964,2.2737367544323206e-13
143,15,1.852432003011927,2.2737367544323206e-13
144,15,2.615415914042387,2.2737367544323206e-13
145,15,3.140796841995325,4.547473508864641e-13
146,15,3.208001508959569,2.2737367544323206e-13
147,15,2.349201476026792,4.547473508864641e-13
148,15,2.5811745309038088,2.2737367544323206e-13
149,15,1.8426983439130709,2.2737367544323206e-13
150,15,1.7535135250655003,2.2737367544323206e-13
151,15,2.4764179919147864,4.547473508864641e-13
152,15,3.3087639659643173,4.547473508864641e-13
153,15,2.624207301880233,4.547473508864641e-13
154,15,2.4399815070210025,4.547473508864641e-13
155,15,2.758302551927045,4.547473508864641e-13
156,15,1.8378281139885075,2.2737367544323206e-13
157,15,1.8810441490495577,2.2737367544323206e-13
158,15,2.509970057872124,4.547473508864641e-13
159,15,2.528700097813271,4.547473508864641e-13
160,15,2.9599812170490623,3.410605131648481e-13
161,15,2.3405858160112984,4.547473508864641e-13
162,15,2.5179310691310093,4.547473508864641e-13
163,15,1.8477974440902472,2.2737367544323206e-13
164,15,1.8557794280350208,2.2737367544323206e-13
165,15,2.526273018971551,4.547473508864641e-13
166,15,2.20510712597752,4.547473508864641e-13
167,15,3.192372679943219,4.547473508864641e-13
168,15,3.361513404001016,4.547473508864641e-13
169,15,2.7760742719401605,4.547473508864641e-13
170,15,1.8648409819579683,2.2737367544323206e-13
171,15,1.975450170924887,2.2737367544323206e-13
172,15,2.6431860550073907,4.547473508864641e-13
173,15,3.371168713143561,4.547473508864641e-13
174,15,2.642310375114903,3.410605131648481e-13
175,15,2.9780263829161413,4.547473508864641e-13
176,15,2.7279457289841957,6.821210263296962e-13
177,15,1.9703573839506134,2.2737367544323206e-13
178,15,1.8938391140545718,2.2737367544323206e-13
179,15,2.549844532040879,4.547473508864641e-13
180,15,2.992795761965681,4.547473508864641e-13
181,15,3.1677300009760074,4.547473508864641e-13
182,15,3.007399797847029,4.547473508864641e-13
183,15,3.133745168102905,4.547473508864641e-13
184,15,1.9956474921200424,2.2737367544323206e-13
185,15,1.8633842651033774,2.2737367544323206e-13
186,15,2.7072927090339363,4.547473508864641e-13
187,15,2.289561404963024,4.547473508864641e-13
188,15,2.159902822924778,4.547473508864641e-13
189,15,2.6919485009275377,4.547473508864641e-13
190,15,2.868478719959967,5.684341886080801e-13
191,15,1.9149467731476761,2.2737367544323206e-13
192,15,1.907739358022809,2.2737367544323206e-13
193,15,3.0418698379653506,4.547473508864641e-13
194,15,2.7156134649994783,4.547473508864641e-13
195,15,2.281821549870074,4.547473508864641e-13
196,15,2.612065528111998,4.547473508864641e-13
197,15,2.9115036238799803,5.684341886080801e-13
198,15,1.9307828890159726,2.2737367544323206e-13
199,15,1.9577876609982923,2.2737367544323206e-13
200,15,3.1799524530069903,4.547473508864641e-13
