strategy,intervals,q0_kwh,qfinal_kwh,base_plan_cost_yuan,up_adjustment_cost_yuan,down_refund_B_yuan,ordinary_cost_B_yuan,emergency_kwh,emergency_cost_yuan,total_cash_B_yuan,charge_kwh,discharge_kwh,unused_supply_kwh,start_soc_kwh,end_soc_kwh,soc_min_kwh,soc_max_kwh,saving_vs_M0_yuan
M0,48096,20953824.226446804,20953824.226446804,13472574.742307186,0.0,0.0,13472574.742307186,303915.6382770601,1917809.273484514,15390384.015791703,6687295.869699808,5417211.909398394,2048466.4094557853,6493.453033407413,5935.391987240741,1200.0,10800.0,0.0
M1,48096,20951689.23139625,21137447.87873319,13471690.343373649,241802.0588052037,-8502.684590127032,13704989.717588723,186006.32645085102,1164471.483444114,14869461.201032838,6712269.475076379,5437440.529753417,2109435.7648944175,6493.453033407413,5935.391987240741,1200.0,10800.0,520922.81475886516
M2,48096,20959402.66916338,20696612.921101157,13475005.768976556,255646.27938313183,-159290.10373678332,13571361.944622904,205464.4843249127,1294248.854732433,14865610.79935534,6726209.879041422,5448732.256965102,1685410.2883830841,6493.453033407413,5935.391987240741,1200.0,10800.0,524773.2164363638
M3,48096,20920082.581048295,20849272.94578579,13457320.472187914,653074.5559785079,-169589.59447961394,13940805.433686808,44150.64173239102,233077.69129359664,14173883.124980405,6717419.808054248,5441657.151475167,1678471.4359724354,6493.453033407413,5885.556420935186,1200.0,10800.0,1216500.890811298
