strategy,ordinary_cost_yuan,emergency_cost_yuan,total_cost_yuan
M0,13472574.742307186,1917809.273484514,15390384.015791703
M1,13704989.717588723,1164471.483444114,14869461.201032838
M2,13571361.944622904,1294248.854732433,14865610.79935534
M3,13940805.433686808,233077.69129359664,14173883.124980405
