plan_day,m0_cost_yuan,m3_cost_yuan,daily_saving_yuan,cumulative_saving_yuan
2025-02-01,20356.765827034964,20356.765827034964,0.0,0.0
2025-02-02,62629.550283414574,62619.613663019576,9.93662039499759,9.93662039499759
2025-02-03,66649.70457406831,66639.07635400997,10.62822005833732,20.56484045333491
2025-02-04,68610.5822651132,68605.9408629832,4.6414021300006425,25.206242583335552
2025-02-05,63479.01286351787,63479.01286351787,0.0,25.206242583335552
2025-02-06,66736.45953244582,66730.82969072166,5.6298417241632706,30.836084307498822
2025-02-07,20436.92287455046,20436.92287455046,0.0,30.836084307498822
2025-02-08,19173.975308650908,19173.975308650908,0.0,30.836084307498822
2025-02-09,60277.29311820224,60277.29311820224,0.0,30.836084307498822
2025-02-10,58253.5652365486,58241.22754711236,12.337689436244546,43.17377374374337
2025-02-11,58312.84520855726,58312.84520855726,0.0,43.17377374374337
2025-02-12,60868.8872182135,60857.9403060835,10.946912129998964,54.12068587374233
2025-02-13,51653.70738716217,51648.491323853,5.21606330916984,59.33674918291217
2025-02-14,16944.906794228616,16944.906794228616,0.0,59.33674918291217
2025-02-15,20334.570085103795,20366.0775556618,-31.50747055800457,27.8292786249076
2025-02-16,57053.00932041339,57056.01521229672,-3.00589188333106,24.82338674157654
2025-02-17,59143.547988258855,59149.19110381441,-5.643115555554687,19.180271186021855
2025-02-18,56263.518820146266,56262.38442713502,1.1343930112489033,20.31466419727076
2025-02-19,59463.06924428554,59472.07884868888,-9.009604403334379,11.30505979393638
2025-02-20,53069.78078274706,53065.22090341373,4.559879333333811,15.86493912727019
2025-02-21,17084.591722805104,17084.591722805104,0.0,15.86493912727019
2025-02-22,17785.141638281006,17785.141638281006,0.0,15.86493912727019
2025-02-23,54723.33700535251,54721.60559935917,1.7314059933341923,17.596345120604383
2025-02-24,49741.16290908684,49739.977263624874,1.1856454619628494,18.781990582567232
2025-02-25,51949.3346048301,51955.43489833511,-6.1002935050055385,12.681697077561694
2025-02-26,61128.807556840664,61130.40543900108,-1.5978821604148834,11.08381491714681
2025-02-27,50817.91883708844,50819.94465601488,-2.025818926442298,9.057995990704512
2025-02-28,15289.189493224723,15289.140865515787,0.048627708936692216,9.106623699641204
2025-03-01,16998.193958890326,16998.193958890326,0.0,9.106623699641204
2025-03-02,53159.64960789458,53157.186980600825,2.4626272937530302,11.569250993394235
2025-03-03,60291.03742360315,60292.21422481648,-1.17680121333251,10.392449780061725
2025-03-04,50228.54339360156,50228.143339842805,0.4000537587562576,10.792503538817982
2025-03-05,50849.98855889863,50849.98855889863,0.0,10.792503538817982
2025-03-06,43988.475592732415,43986.53749511991,1.938097612503043,12.730601151321025
2025-03-07,15112.03064619431,15118.669630669308,-6.6389844749992335,6.091616676321792
2025-03-08,14999.736043873527,15001.622579144028,-1.886535270501554,4.205081405820238
2025-03-09,45606.867014664116,44475.770531301336,1131.0964833627804,1135.3015647686007
2025-03-10,48282.671843567536,49016.79348667541,-734.1216431078719,401.1799216607287
2025-03-11,65615.77483707131,46528.62874181641,19087.146095254902,19488.32601691563
2025-03-12,46830.08026068629,45717.10174925186,1112.978511434434,20601.304528350065
2025-03-13,46700.232325936755,46240.4072819671,459.8250439696567,21061.12957231972
2025-03-14,14711.453044399119,15068.580738688486,-357.12769428936735,20704.001878030354
2025-03-15,15373.459589020373,14467.164452545434,906.2951364749388,21610.297014505293
2025-03-16,42650.419411710325,42811.64860596651,-161.22919425618602,21449.067820249107
2025-03-17,39809.94051240816,38607.36850392651,1202.5720084816494,22651.639828730757
2025-03-18,46849.6269260027,45665.35592696833,1184.2709990343646,23835.91082776512
2025-03-19,55713.84119929419,40770.520190459014,14943.321008835177,38779.2318366003
2025-03-20,44051.01291632328,43246.083114837544,804.9298014857341,39584.161638086036
2025-03-21,14474.569174956543,13735.286924063215,739.2822508933277,40323.44388897937
2025-03-22,14470.60642171096,14477.434384609438,-6.82796289847829,40316.61592608089
2025-03-23,40511.03675515416,39344.18988360715,1166.846871547008,41483.4627976279
2025-03-24,40488.0781974173,40832.04413009867,-343.96593268137076,41139.49686494653
2025-03-25,46123.0455148296,43779.36814653688,2343.6773682927233,43483.17423323925
2025-03-26,42791.24734618415,40227.24936066107,2563.9979855230777,46047.17221876233
2025-03-27,38500.921861590396,38398.673732915566,102.24812867482979,46149.42034743716
2025-03-28,12642.21891152904,12528.297200379162,113.92171114987832,46263.34205858704
2025-03-29,15729.072922478848,14442.139253414163,1286.933669064685,47550.27572765172
2025-03-30,36529.08345151495,35592.19571513688,936.8877363780703,48487.16346402979
2025-03-31,58668.22158241394,41988.42705204178,16679.794530372164,65166.95799440196
2025-04-01,43726.63931983157,41177.44250680893,2549.196813022638,67716.1548074246
2025-04-02,44637.11801535877,46580.449066629655,-1943.331051270885,65772.82375615371
2025-04-03,38882.6676928543,37603.715250899346,1278.9524419549562,67051.77619810867
2025-04-04,11822.55691975949,12055.48841454156,-232.93149478206942,66818.8447033266
2025-04-05,14731.450428493572,13824.907865772611,906.5425627209606,67725.38726604756
2025-04-06,37629.43808963742,37430.54514249265,198.89294714477,67924.28021319234
2025-04-07,41060.48599781278,35364.80932669183,5695.676671120949,73619.95688431329
