day_index,candidate_count,candidate_solve_seconds_sum,max_source_pool_residual
0,15,0.4602976418682374,2.2737367544323206e-13
1,15,0.21179770096205175,2.2737367544323206e-13
2,15,0.20753235497977585,2.2737367544323206e-13
3,15,0.3828389681293629,1.5631940186722204e-13
4,15,0.5387631780467927,2.2737367544323206e-13
5,15,0.7418812000541948,3.410605131648481e-13
6,15,1.0349663330125622,2.2737367544323206e-13
7,15,1.45560329395812,5.684341886080801e-13
8,15,2.210084646998439,4.547473508864641e-13
9,15,2.0871488018892705,3.410605131648481e-13
10,15,2.7945864581270143,3.410605131648481e-13
11,15,3.7731680258875713,4.547473508864641e-13
12,15,3.0188366331276484,5.684341886080801e-13
13,15,3.0499948759097606,5.684341886080801e-13
14,15,2.8178170059109107,5.684341886080801e-13
15,15,2.7834053782280535,5.684341886080801e-13
16,15,2.833896531141363,3.410605131648481e-13
17,15,2.8550345491385087,4.547473508864641e-13
18,15,2.8368791569955647,5.684341886080801e-13
19,15,2.716645171865821,5.684341886080801e-13
20,15,3.1770964940078557,4.547473508864641e-13
21,15,3.0233418201678433,4.547473508864641e-13
22,15,2.846490603929851,4.547473508864641e-13
23,15,3.0785201498074457,4.547473508864641e-13
24,15,2.775945301982574,4.547473508864641e-13
25,15,2.9365054929512553,4.547473508864641e-13
26,15,2.952683978830464,4.547473508864641e-13
27,15,2.79416499088984,5.684341886080801e-13
28,15,2.8840984328999184,4.547473508864641e-13
29,15,2.8717787918867543,4.547473508864641e-13
30,15,2.661969213222619,4.547473508864641e-13
31,15,2.910029133025091,4.547473508864641e-13
32,15,3.159386400016956,4.547473508864641e-13
33,15,3.2331107030040585,4.547473508864641e-13
34,15,3.0854213568381965,6.821210263296962e-13
35,15,3.5714305958827026,4.547473508864641e-13
36,15,3.3405851398129016,4.547473508864641e-13
37,15,3.1458779899403453,4.547473508864641e-13
38,15,2.688568940910045,4.547473508864641e-13
39,15,2.7255279740784317,5.684341886080801e-13
40,15,2.9504400810110383,5.684341886080801e-13
41,15,3.0716567329945974,4.547473508864641e-13
42,15,3.025878907123115,4.547473508864641e-13
