family,tau,rho,gamma,nominal_scenario_count,actual_scenario_count_min,actual_scenario_count_median,actual_scenario_count_max,distinct_scenario_count_min,distinct_scenario_count_max,ess_min,ess_median,ess_mean,ess_max,median_effective_tail_mass,tail_support_ge_5,total_cost_wan,plan_cost_wan,emergency_cost_wan,emergency_mwh,spill_mwh,final_soc,runtime_sec,deterministic_selection,random_seed,provenance,source,weight_half_life_days,min_normalized_weight,max_normalized_weight,post_hoc_only
formal_tau90_rho005_gamma0,0.9,0.05,0.0,10.0,10.0,10.0,10.0,10.0,10.0,9.999999999999996,9.999999999999996,9.999999999999998,9.999999999999996,0.9999999999999994,False,1398.3749353866117,1310.2499099247411,88.12502546187034,147.44592482325595,2084.392496079191,4337.9888481481485,62.78992049999943,True,NOT_APPLICABLE,independently cost-audited stored full-year run,formal,,,,
formal_tau90_rho005_gamma0,0.9,0.05,0.0,20.0,17.0,20.0,20.0,17.0,20.0,17.0,19.999999999999996,19.98203592814371,19.999999999999996,1.999999999999999,False,1401.1253095765278,1311.417945613571,89.70736396295696,151.29475179600746,2076.562261999225,4872.039815943632,389.1953517,True,NOT_APPLICABLE,fresh checkpointed full-year run,formal,,,,
formal_tau90_rho005_gamma0,0.9,0.05,0.0,30.0,17.0,30.0,30.0,17.0,30.0,17.0,30.0,29.72754491017964,30.0,2.999999999999999,False,1397.511744444818,1311.027663749921,86.48408069489689,145.64980133139508,2069.871803195995,4891.90370144546,515.1053038,True,NOT_APPLICABLE,fresh checkpointed full-year run,formal,,,,
formal_tau90_rho005_gamma0,0.9,0.05,0.0,50.0,17.0,50.0,50.0,17.0,50.0,17.0,49.99999999999999,48.32035928143712,49.99999999999999,4.999999999999998,False,1396.5406688469554,1311.8023078883607,84.73836095859455,142.35771137310104,2061.259581092996,4887.396651851853,1291.4592952000005,True,NOT_APPLICABLE,fresh checkpointed full-year run,formal,,,,
formal_tau90_rho005_gamma0,0.9,0.05,0.0,100.0,17.0,60.0,60.0,17.0,60.0,17.0,60.000000000000014,57.16766467065868,60.000000000000014,6.0,True,1394.836028649821,1312.124754365092,82.71127428472876,138.77648546824912,2059.249259252886,4856.019110425927,1498.6437265999994,True,NOT_APPLICABLE,fresh checkpointed full-year run,formal,,,,
exploratory_tau95_rho005_gamma002,0.95,0.05,0.02,10.0,10.0,10.0,10.0,10.0,10.0,8.78435926082378,8.78435926082378,8.8678579599942,9.893906988594107,0.4392179630411894,False,1378.2870206458374,1312.818759519672,65.46826112616552,108.2161062658137,2070.4979553767985,4337.9888481481485,59.93375709999964,True,NOT_APPLICABLE,independently cost-audited stored full-year run,exploratory_tau95,,,,
exploratory_tau95_rho005_gamma002,0.95,0.05,0.02,20.0,17.0,20.0,20.0,17.0,20.0,16.83866585349261,17.78770443290993,17.921672258872253,19.738189935838413,0.8893852216454973,False,1388.0508665120446,1315.1501676334776,72.90069887856717,120.95469040042208,2112.7137471489023,4918.621590565215,283.40563380000003,True,NOT_APPLICABLE,fresh checkpointed full-year run,exploratory_tau95,,,,
exploratory_tau95_rho005_gamma002,0.95,0.05,0.02,50.0,17.0,50.0,50.0,17.0,50.0,16.83866585349261,44.740259764245714,43.46667753704343,46.213256106256,2.237012988212288,False,1388.0340163521585,1315.190568214768,72.84344813739038,121.08011651085064,2099.522185341408,4944.504790469311,1300.9361606000002,True,NOT_APPLICABLE,fresh checkpointed full-year run,exploratory_tau95,,,,
exploratory_tau95_rho005_gamma002,0.95,0.05,0.02,100.0,17.0,60.0,60.0,17.0,60.0,16.83866585349261,53.70674685309252,51.40060807457141,53.70674685309252,2.6853373426546283,False,1385.3159105846894,1315.4990190154572,69.81689156923215,116.10392393356172,2101.629204294095,4921.014194453909,1486.9857473000002,True,NOT_APPLICABLE,fresh checkpointed full-year run,exploratory_tau95,,,,
exploratory_tau95_rho005_gamma002,0.95,0.05,0.02,150.0,17.0,60.0,60.0,17.0,60.0,16.83866585349261,53.70674685309252,51.40060807457141,53.70674685309252,2.6853373426546283,False,1385.3159105846894,1315.4990190154572,69.81689156923215,116.10392393356172,2101.629204294095,4921.014194453909,1486.9857473000002,True,NOT_APPLICABLE,exact structural alias of S100: both use all <=60 eligible days,exploratory_tau95,,,,
,,,0.0,,,,,,,9.999999999999996,9.999999999999996,9.999999999999998,9.999999999999996,,,1413.1526357523246,1293.6199234357946,119.53271231653008,199.0281967254437,1891.4416977415076,4289.552805648148,85.8010405,,,fresh checkpointed full-year run,recency,inf,0.1,0.1,True
