variant,changed_component,scenario_count,terminal,terminal_lambda,cvar_beta,cvar_weight,total_cost_wan,plan_cost_wan,emergency_cost_wan,emergency_mwh,spill_mwh,final_soc,runtime_sec,config_hash,incremental_saving_vs_base_wan,inventory_adjusted_cost_wan,incremental_contribution_not_causal
Base,none,10,continuous,0.0,0.0,0.0,1423.1583333284552,1291.09592085668,132.06241247177525,233.45935888339145,1971.8511703968188,1201.5683760509262,132.294715,907a81399ded7fbfcc70ef02f99988c14e935b6e3b332b177842c8bdd424fd7d,0.0,1423.383091865721,True
Base+recency,scenario recency weighting gamma=0.05,10,continuous,0.0,0.0,0.0,1386.840816778393,1294.021025724661,92.81979105373202,157.0277159781681,2002.2739364116987,1200.0,154.83828640000047,25d0ba929ec5cac03e8fabc050d857935044f423c6fd6555f38a8956d259ef21,36.31751655006224,1387.065648778393,True
Base+CVaR,CVaR tau=0.90 rho=0.05,10,continuous,0.0,0.9,0.05,1409.09176055256,1306.5793698455327,102.51239070702714,182.48643344199425,2173.514320785784,1341.1846942439445,111.51285759999972,76b2e528e435cfcc8f040d4491d68d22d974e66775f6997b29f8ffa0d16222b5,14.066572775895338,1409.3099794614816,True
Base+terminal-value,terminal inventory value lambda=0.4684,10,value,0.4684,0.0,0.0,1413.1526357523246,1293.6199234357946,119.53271231653008,199.0281967254437,1891.4416977415076,4289.552805648148,109.43190419999974,8b7cde5ecdbf9fe1a30c83ada1a2a28d0f3c5d023a428bfecf5ef7ab206cea85,10.005697576130617,1413.232753098908,True
Base+similarity,forecast-feature similarity conditioning K=10,10,continuous,0.0,0.0,0.0,1406.0126390386788,1297.5154429303632,108.4971961083157,192.0882485224421,2026.2453308349968,1200.0,100.29175159999976,41dda8c8931a2c2e40914bc3292810968f0a197d9054cfa0aaba85e082daf6c4,17.14569428977643,1406.237471038679,True
Base+medoid,farthest-medoid trajectory reduction K=10,10,continuous,0.0,0.0,0.0,1411.4216757160232,1339.5568516619462,71.86482405407696,131.34307085981033,2501.272141801473,1356.1860777777745,84.8863323000005,7b52f2052a7d629dfda4514cbef4572603936858383d8568192e09f946cfad83,11.736657612432056,1411.63919196014,True
