plan_day,block_index,charge_kwh,discharge_kwh
2025-03-20,0,5544.3281240153865,134.1928916666667
2025-03-20,1,1125.0986266666669,5214.823951666667
2025-03-20,2,3712.5187325382253,2777.3772166666668
2025-03-20,3,4615.925693395062,368.8455249999996
2025-03-20,4,109.95512567900994,5829.185477562343
2025-03-20,5,3638.2454333333326,1231.4824464102715
2025-03-21,0,122.97741691666812,768.3247500000002
2025-03-21,1,1020.2277849999998,2860.666913469165
2025-03-21,2,10472.045183333332,0.0
2025-03-21,3,0.0,0.0
2025-03-21,4,33.99959117004827,6029.639330450001
2025-03-21,5,3453.05165,2444.466883333333
2025-03-22,0,232.78157499999998,186.25613274615108
2025-03-22,1,862.682055,3555.1150502900214
2025-03-22,2,10498.321421199716,0.0
2025-03-22,3,0.0,33.569999999999936
2025-03-22,4,90.0954152166621,5953.5691047530845
2025-03-22,5,3479.385354536424,2268.5899833333333
