interpretation,model,total_cost_wan,plan_cost_wan,emergency_cost_wan,emergency_mwh,surplus_mwh,charge_mwh,discharge_mwh,final_soc_kwh,balance_residual_kwh,soc_residual_kwh,future_leakage_count,emergency_to_battery_kwh,solver_failures
A,ONLINE-RISK-SP,1380.8033330642481,1306.801945803071,74.00138726117717,121.32459054901858,2054.80241466566,6261.877079940142,5073.682597983431,4264.2630756481485,2.2737367544323206e-13,9.094947017729282e-13,0,0.0,0
A,M1,1405.9960168988364,1340.2717394037363,65.72427749510018,107.86895765391833,2854.1748998122257,6801.949745784423,5505.259294085383,10800.0,2.2737367544323206e-13,9.094947017729282e-13,0,0.0,0
A,M2-TV,1405.7367444061606,1295.0161427076303,110.72060169853027,182.89139931223306,1962.4390181607275,6224.210634136805,5042.796479411347,4682.371377184048,2.2737367544323206e-13,9.094947017729282e-13,0,0.0,0
B,ONLINE-RISK-SP,1567.5284520365756,1305.7420445096195,261.78640752695605,523.2851737093221,2571.8267004628956,5759.251162308681,4666.373754310828,4466.319065781069,2.2737367544323206e-13,9.094947017729282e-13,0,0.0,0
B,M1,1455.9737439817302,1340.1810253527724,115.79271862895781,257.1999934715017,3038.4860377758537,6615.193102954209,5353.986413392909,10800.0,2.2737367544323206e-13,9.094947017729282e-13,0,0.0,0
B,M2-TV,1587.1341205213942,1298.0738622433132,289.06025827808094,570.8809724161538,2515.992993208604,5727.6240102712445,4640.4179712464975,4841.641192456274,2.2737367544323206e-13,9.094947017729282e-13,0,0.0,0
