date,normal_cost,emergency_cost,cash_cost,emergency_kwh,surplus_kwh,end_energy_kwh,case,policy,alpha,split
2025-02-01,22661.083442409188,0.0,22661.083442409188,0.0,5544.833219479471,6254.319398711726,q3_fixed_price,static_alpha70,0.7,development
2025-02-02,56120.41536910448,357.2497380691592,56477.665107173634,51.211258324134064,6605.168884286611,6344.2030792050655,q3_fixed_price,static_alpha70,0.7,development
2025-02-03,56245.064815427286,1023.318378654767,57268.38319408205,146.69128134385994,5219.738381383536,6206.285462999386,q3_fixed_price,static_alpha70,0.7,development
2025-02-04,57367.18542295527,0.0,57367.18542295527,0.0,5163.675828389808,6253.813475577892,q3_fixed_price,static_alpha70,0.7,development
2025-02-05,55954.40522541203,712.7317530869329,56667.136978498966,102.16911598149841,3966.0416601027046,6205.313451004462,q3_fixed_price,static_alpha70,0.7,development
2025-02-06,57197.24201325599,213.27678001749385,57410.518793273484,33.996739858203455,6392.775548005948,6161.522253611699,q3_fixed_price,static_alpha70,0.7,development
2025-02-07,22340.729411247907,0.0,22340.729411247907,0.0,7839.848447310118,6206.863638659238,q3_fixed_price,static_alpha70,0.7,development
2025-02-08,18985.409967684995,1279.8362921515482,20265.246259836542,209.36304468371475,1609.5002531761472,6210.999380688048,q3_fixed_price,static_alpha70,0.7,development
2025-02-09,53367.02933094255,0.0,53367.02933094255,0.0,889.5008759663453,6252.825708076119,q3_fixed_price,static_alpha70,0.7,development
2025-02-10,52506.074520546,9.24926580253768,52515.323786348534,1.9746511107040305,5833.647630334326,6074.753868195006,q3_fixed_price,static_alpha70,0.7,development
2025-02-11,52244.438328119286,167.74681868149756,52412.18514680078,35.812728155742434,4052.524856258638,6093.6174432023545,q3_fixed_price,static_alpha70,0.7,development
2025-02-12,52339.619425752404,258.06637922448,52597.685804976885,44.66402113480617,4477.2428887552305,6030.930883533353,q3_fixed_price,static_alpha70,0.7,development
2025-02-13,50119.20532112484,0.0,50119.20532112484,0.0,5405.0260148399,6233.631303968249,q3_fixed_price,static_alpha70,0.7,development
2025-02-14,18895.373222712147,0.0,18895.373222712147,0.0,3267.6201168161715,6092.793620634922,q3_fixed_price,static_alpha70,0.7,development
2025-02-15,18658.21621459887,1368.8639459983258,20027.080160597194,237.69614091532395,3207.885913324736,5921.622737341602,q3_fixed_price,static_alpha70,0.7,development
2025-02-16,52044.78117232523,708.3486807908544,52753.12985311609,122.71022942842365,3717.1441701425083,6140.206222918973,q3_fixed_price,static_alpha70,0.7,development
2025-02-17,50956.7512779585,178.76331364403487,51135.514591602536,36.36029871565586,7326.307132145674,6024.546262640989,q3_fixed_price,static_alpha70,0.7,development
2025-02-18,48655.03252694614,329.91372261891,48984.94624956505,71.2411727484141,2277.0111142694127,6148.442172165807,q3_fixed_price,static_alpha70,0.7,development
2025-02-19,48235.61393012748,1062.4572320447837,49298.071162172266,216.31040522166654,1219.5315700113597,5832.052922992961,q3_fixed_price,static_alpha70,0.7,development
2025-02-20,49358.59652160899,257.6359458212625,49616.23246743025,55.00340431709276,4737.453800421839,6201.492877751492,q3_fixed_price,static_alpha70,0.7,development
2025-02-21,18155.157862533433,0.0,18155.157862533433,0.0,6131.5498961114445,6177.879592794157,q3_fixed_price,static_alpha70,0.7,development
2025-02-22,18029.024747990377,150.53463270822675,18179.559380698603,27.479852630198387,3494.2057405697337,6085.856027929051,q3_fixed_price,static_alpha70,0.7,development
2025-02-23,48638.706870580354,606.3293625200064,49245.03623310036,105.06739269311281,3461.104992196045,6018.787289866729,q3_fixed_price,static_alpha70,0.7,development
2025-02-24,47762.462797400025,356.0363974500002,48118.499194850025,77.71680000000003,4937.224493801343,6101.322694609768,q3_fixed_price,static_alpha70,0.7,development
2025-02-25,49105.13399376019,283.6543977483525,49388.78839150854,62.150368121334964,10269.91005712921,6069.085506462996,q3_fixed_price,static_alpha70,0.7,development
2025-02-26,44391.01988900907,4073.2392768785294,48464.2591658876,608.5904135553129,398.8619194723726,6110.936676183927,q3_fixed_price,static_alpha70,0.7,development
2025-02-27,46018.729850157266,341.5715588201422,46360.30140897741,67.98647985150308,3645.3855076734035,6175.715050805573,q3_fixed_price,static_alpha70,0.7,development
2025-02-28,17630.61371731716,994.8030900797958,18625.416807396956,192.66704997204548,7368.165417898132,6145.7627149343925,q3_fixed_price,static_alpha70,0.7,development
2025-03-01,16819.489417700017,474.96834060903745,17294.457758309054,97.98866330767461,6035.765129667343,5881.545391808854,q3_fixed_price,static_alpha70,0.7,development
2025-03-02,43340.88037437035,34887.61436136102,78228.49473573136,5231.736981269947,83.57966896016535,5794.866919383401,q3_fixed_price,static_alpha70,0.7,development
2025-03-03,43798.60832074682,30033.28720743261,73831.89552817943,4705.392518880999,89.89122381862194,5860.163713252734,q3_fixed_price,static_alpha70,0.7,development
2025-03-04,42570.76511034665,23720.841294875037,66291.60640522168,3698.382172657248,40.41464609505863,5767.691731035235,q3_fixed_price,static_alpha70,0.7,development
2025-03-05,42798.543406283,3456.9432808634347,46255.48668714644,498.42083641859426,65.26687983209013,5934.428955166379,q3_fixed_price,static_alpha70,0.7,development
2025-03-06,41436.34221163373,13587.807971046357,55024.15018268009,2001.790358392889,41.20536612736191,5766.337048263416,q3_fixed_price,static_alpha70,0.7,development
2025-03-07,16892.93328357532,0.0,16892.93328357532,0.0,8143.960835840859,6103.660135032346,q3_fixed_price,static_alpha70,0.7,development
2025-03-08,16202.884265053752,633.8596564446398,16836.74392149839,160.7902315585756,9168.818314209504,6023.063763302768,q3_fixed_price,static_alpha70,0.7,development
2025-03-09,41845.20986729182,975.4094800395014,42820.619347331325,189.7892300985372,1559.9053933635978,5959.8538811836215,q3_fixed_price,static_alpha70,0.7,development
2025-03-10,41316.31185627053,22821.812322444675,64138.1241787152,3660.2694963939266,15.334213271926842,5931.115641464595,q3_fixed_price,static_alpha70,0.7,development
2025-03-11,39379.12016321,20661.940268955463,60041.06043216546,3232.3357994072417,123.12783011342799,6059.607829794065,q3_fixed_price,static_alpha70,0.7,development
2025-03-12,41964.79631770001,708.9981778298109,42673.79449552982,101.63391310633756,2760.2248052463756,5942.196284293395,q3_fixed_price,static_alpha70,0.7,development
2025-03-13,42237.7712839849,13433.718751540877,55671.49003552577,1974.509974198771,35.67644938890544,5937.93954022775,q3_fixed_price,static_alpha70,0.7,development
2025-03-14,15746.696254996761,1509.2782538642546,17255.974508861014,246.89649171671104,11673.855434975778,6220.727733062576,q3_fixed_price,static_alpha70,0.7,development
2025-03-15,15629.493811117729,444.8987631879407,16074.39257430567,81.10752148103819,6769.015683745452,5840.372840283118,q3_fixed_price,static_alpha70,0.7,development
2025-03-16,41673.77043719706,7.461180000000455,41681.23161719706,1.6400000000001,749.8928227204608,6248.174939176934,q3_fixed_price,static_alpha70,0.7,development
2025-03-17,38846.22513881817,1945.7339326005358,40791.95907141871,325.77755596050315,3264.891783175465,6207.828035606871,q3_fixed_price,static_alpha70,0.7,development
2025-03-18,43154.53293114668,0.0,43154.53293114668,0.0,5617.356077881664,6227.422396389623,q3_fixed_price,static_alpha70,0.7,development
2025-03-19,38758.12454294758,2080.8188944048043,40838.94343735238,424.5054222571147,509.7798687995303,6379.904475900637,q3_fixed_price,static_alpha70,0.7,development
2025-03-20,40574.70604677686,5992.727868076907,46567.43391485377,1158.824884381499,2287.990739234313,6068.367935144671,q3_fixed_price,static_alpha70,0.7,development
2025-03-21,15079.027484321425,2248.7952396335127,17327.822723954938,566.0246286217532,14628.606232920756,6137.284726768375,q3_fixed_price,static_alpha70,0.7,development
2025-03-22,15890.519680714053,0.0,15890.519680714053,0.0,11305.459407378848,6382.6392044633185,q3_fixed_price,static_alpha70,0.7,development
2025-03-23,41238.71778256995,2596.47041006465,43835.188192634596,375.5750000850184,6375.871435481068,6126.731894063536,q3_fixed_price,static_alpha70,0.7,development
2025-03-24,40175.64337462798,2775.333212332212,42950.97658696019,397.84019672193403,5677.580354309608,5983.429796413514,q3_fixed_price,static_alpha70,0.7,development
2025-03-25,42069.10436267959,2977.8875162893387,45046.991878968925,426.8760774497332,5354.267430662178,6066.3129610698115,q3_fixed_price,static_alpha70,0.7,development
2025-03-26,38109.62284626164,4231.668649649421,42341.291495911064,765.836212873426,4880.409490344217,6114.097841646614,q3_fixed_price,static_alpha70,0.7,development
2025-03-27,40420.64904496816,2714.127577740381,43134.77662270854,402.40719820398374,5131.163341304265,6013.02356403546,q3_fixed_price,static_alpha70,0.7,development
2025-03-28,14962.084059047069,0.0,14962.084059047069,0.0,15889.964084188521,6071.357376912137,q3_fixed_price,static_alpha70,0.7,development
2025-03-29,14182.776194449889,3046.5909608449583,17229.367155294847,523.5048857496986,18052.986099609523,6088.2328138437315,q3_fixed_price,static_alpha70,0.7,development
2025-03-30,39575.08969410951,0.0,39575.08969410951,0.0,6904.337500561453,6188.374156624812,q3_fixed_price,static_alpha70,0.7,development
2025-03-31,35994.89979804124,7090.45541733873,43085.35521537997,1029.3471452048539,282.93656170250483,6230.332327457232,q3_fixed_price,static_alpha70,0.7,development
2025-04-01,38034.84028482254,2358.271332027292,40393.11161684983,339.03831705069905,244.33421820396427,6182.896307594221,q3_fixed_price,static_alpha70,0.7,development
2025-04-02,36788.86574722754,15528.916055284102,52317.78180251164,2640.2646604993824,256.60332872559127,6179.993707457348,q3_fixed_price,static_alpha70,0.7,development
2025-04-03,38311.23987430549,0.0,38311.23987430549,0.0,4002.806528219177,6133.488614106015,q3_fixed_price,static_alpha70,0.7,development
2025-04-04,14665.122915471089,0.0,14665.122915471089,0.0,19469.253204466826,6472.865794844564,q3_fixed_price,static_alpha70,0.7,development
2025-04-05,14345.57859798082,0.0,14345.57859798082,0.0,13831.89442088149,6136.404677184183,q3_fixed_price,static_alpha70,0.7,development
2025-04-06,36732.988245685454,0.0,36732.988245685454,0.0,3531.3672371353914,6159.6140448141805,q3_fixed_price,static_alpha70,0.7,development
2025-04-07,35459.41723313938,1826.6300210554264,37286.047254194804,262.672705262918,2956.0827637583006,6117.71790960138,q3_fixed_price,static_alpha70,0.7,development
2025-04-08,37282.15164304067,562.7511117493217,37844.90275478999,89.03171341892646,4304.4649938429075,6036.859971799611,q3_fixed_price,static_alpha70,0.7,development
2025-04-09,37594.466638193684,2764.7512503691864,40359.21788856287,397.98375737464016,598.4278468818527,6109.445759646738,q3_fixed_price,static_alpha70,0.7,development
2025-04-10,37542.82300098903,0.0,37542.82300098903,0.0,4076.168420291033,6313.042734777527,q3_fixed_price,static_alpha70,0.7,development
2025-04-11,13575.274830127506,0.0,13575.274830127506,0.0,19136.191641962927,6116.0095990585505,q3_fixed_price,static_alpha70,0.7,development
2025-04-12,14628.344248733818,0.0,14628.344248733818,0.0,16907.037309703024,6387.180888345496,q3_fixed_price,static_alpha70,0.7,development
2025-04-13,35654.142694969414,0.0,35654.142694969414,0.0,1831.496439547028,6261.001117904962,q3_fixed_price,static_alpha70,0.7,development
2025-04-14,38678.8961233913,42.82861631987539,38721.72473971117,6.169033232459469,8763.624663840885,6095.602723715488,q3_fixed_price,static_alpha70,0.7,development
2025-04-15,34579.2509913549,4097.025828003451,38676.276819358354,603.3541278431412,5234.275341293556,6160.076305722517,q3_fixed_price,static_alpha70,0.7,development
2025-04-16,36154.86799555755,46.179411538530545,36201.04740709608,9.864932197196186,1918.7480046870564,5997.1896123009665,q3_fixed_price,static_alpha70,0.7,development
2025-04-17,35176.27649723341,0.0,35176.27649723341,0.0,1390.5071540675021,6281.097472045345,q3_fixed_price,static_alpha70,0.7,development
2025-04-18,13754.254686860397,0.0,13754.254686860397,0.0,17901.148188435225,6656.055635255533,q3_fixed_price,static_alpha70,0.7,development
2025-04-19,13476.474486167725,0.0,13476.474486167725,0.0,17981.727998532217,6469.5562922409335,q3_fixed_price,static_alpha70,0.7,development
2025-04-20,35727.23923501297,0.0,35727.23923501297,0.0,4030.6810877586922,6454.151652877937,q3_fixed_price,static_alpha70,0.7,development
2025-04-21,36814.21353958483,0.0,36814.21353958483,0.0,10382.005090008033,6050.945273886781,q3_fixed_price,static_alpha70,0.7,development
2025-04-22,34398.730588278864,0.0,34398.730588278864,0.0,2259.372092732469,6145.921499684156,q3_fixed_price,static_alpha70,0.7,development
2025-04-23,33916.60748384445,0.0,33916.60748384445,0.0,1995.6664967792187,6340.067434860886,q3_fixed_price,static_alpha70,0.7,development
2025-04-24,34648.47845687129,0.0,34648.47845687129,0.0,7911.962581573337,6217.494282130429,q3_fixed_price,static_alpha70,0.7,development
2025-04-25,13308.34402161873,0.0,13308.34402161873,0.0,21581.958133008287,6370.570870930794,q3_fixed_price,static_alpha70,0.7,development
2025-04-26,13231.176932592592,0.0,13231.176932592592,0.0,23689.72753856305,6298.150297304889,q3_fixed_price,static_alpha70,0.7,development
