scenario,block_days,mean,lower_95,upper_95
q3,3,150.20858192482115,-151.45972489592555,424.2445031076648
q3,7,150.20858192482115,-142.85390949323858,455.11401258140864
q3,14,150.20858192482115,-145.6845942008048,512.1978356708161
q4_2,3,0.0,0.0,0.0
q4_2,7,0.0,0.0,0.0
q4_2,14,0.0,0.0,0.0
q4_3,3,147.50092982279935,-166.3633250622378,447.7715083777403
q4_3,7,147.50092982279935,-167.92338784953822,476.1675284054511
q4_3,14,147.50092982279935,-166.5967630069904,548.2364397717894
