natural_day,block_index,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,cash_cost_yuan,initial_soc_kwh,end_soc_kwh
2025-03-20,0,18797.227601430044,4878.122246868624,209.232778771914,0.0,8441.95636561419,4907.166562092589,9064.995718972224
2025-03-20,1,11072.200050866666,2526.238633333333,5327.502632466667,0.0,5585.34751728014,9064.995718972224,5419.16311956482
2025-03-20,2,1492.8715180762547,2883.703551409588,3265.5568,0.0,806.7546761305061,5419.16311956482,4386.099871389004
2025-03-20,3,6986.31008864871,7312.634849551487,254.72278333333304,0.0,5093.263007579613,4386.099871389004,10684.445921170529
2025-03-20,4,11131.854312567903,150.89902020146943,7012.388241747939,0.0,11869.806327553617,10684.445921170529,3028.712548520808
2025-03-20,5,19490.796117875718,5845.022348299896,1664.2167554241769,0.0,12568.574202790047,3028.712548520808,6440.102933741629
2025-06-21,0,6662.521463599998,898.8653976842943,6182.7327730666675,0.0,2583.0840608075796,10128.548690084135,4067.8244668148163
2025-06-21,1,4496.088196666666,1016.0637249999999,2801.090095,0.0,1435.5098743646665,4067.8244668148163,1869.959491537038
2025-06-21,2,0.0,9922.267231625516,0.0,0.0,0.0,1869.959491537038,10800.0
2025-06-21,3,97.52438187499966,0.0,0.0,0.0,143.55137200121885,10800.0,10800.0
2025-06-21,4,6576.582847318245,181.30114999999978,3353.605406666665,0.0,6180.4473452998345,10800.0,7236.942805370373
2025-06-21,5,16310.460003333334,5971.583203333334,3017.4999166666666,0.0,8821.278861200333,7236.942805370373,9258.590003185189
2025-09-23,0,21223.310539610073,7383.487625,249.26440205659134,0.0,9229.632574684063,3420.971375759258,9789.149791529715
2025-09-23,1,9131.740489964921,1778.8417406250003,6674.394600660079,0.0,4232.024151264697,9789.149791529715,3974.1133573587945
2025-09-23,2,3142.194590902778,5179.268704930555,2387.9402999999998,0.0,1847.2571020672501,3974.1133573587945,5982.188191796295
2025-09-23,3,3643.543725722104,5851.42659759259,403.62491666666654,0.0,2600.24288031083,5982.188191796295,10800.0
2025-09-23,4,13079.606976862859,240.9302072916662,6220.58321376214,0.0,15139.938612621285,10800.0,4105.0780601601255
2025-09-23,5,15315.762576884385,635.2424851965537,2236.9964249788345,0.0,11933.010855233986,4105.0780601601255,2191.2447135272078
2025-12-21,0,16184.544327982272,614.767336006967,171.82066131687338,0.0,7363.616390597182,10311.371860556694,10673.750617055326
2025-12-21,1,19437.386706198162,2008.760020722689,1513.4711721351705,0.0,15119.795306665672,10673.750617055326,10800.0
2025-12-21,2,10872.576334999998,5567.267266666665,7160.590336666665,0.0,10067.32887483283,10800.0,7854.329054814816
2025-12-21,3,15419.737036193415,6026.472223045267,2230.3386499999997,0.0,13007.959499783696,7854.329054814816,10800.0
2025-12-21,4,16363.764466433331,95.39091088477024,4411.122510233334,0.0,18482.313971750464,10800.0,5984.6045862037
2025-12-21,5,18384.223916666666,6714.173049999999,3697.5281999999997,0.0,10569.445889145833,5984.6045862037,7918.995664537033
