period,model,days,intervals,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_yuan_per_kwh
all_334_days,fixed_attachment1_diagnostic,334,48096,0.09632272538256821,0.13037726815564848,0.008669702262142377
all_334_days,frozen_lag7,334,48096,0.04715118305056553,0.06534801504178886,-0.00015473843978709253
development_feb_jun,fixed_attachment1_diagnostic,150,21600,0.08747499537037036,0.12168686303643521,0.03672792129629629
development_feb_jun,frozen_lag7,150,21600,0.04597097685185186,0.06182209505912915,0.0040914490740740755
retrospective_jul_dec,fixed_attachment1_diagnostic,184,26496,0.1035355487620773,0.13705472585816722,-0.014203845863526571
retrospective_jul_dec,frozen_lag7,184,26496,0.04811330766908213,0.0680874417697655,-0.003616304347826087
