plan_day,model,mae_yuan_per_kwh,mse_yuan2_per_kwh2,bias_yuan_per_kwh
2025-02-01,frozen_lag7,0.06873541666666666,0.01020539895833333,0.05347847222222221
2025-02-02,frozen_lag7,0.08953333333333334,0.0165785425,0.07982916666666667
2025-02-03,frozen_lag7,0.07108055555555556,0.011559538333333334,0.05364305555555557
2025-02-04,frozen_lag7,0.07368194444444445,0.01294464,0.056544444444444446
2025-02-05,frozen_lag7,0.06524097222222222,0.009504716458333333,0.04156180555555556
2025-02-06,frozen_lag7,0.07718055555555556,0.013582416388888892,0.056165277777777786
2025-02-07,frozen_lag7,0.07706458333333334,0.01203927701388889,0.06735625
2025-02-08,frozen_lag7,0.03434583333333333,0.0020841348611111113,0.00914166666666667
2025-02-09,frozen_lag7,0.03652777777777778,0.002138371527777778,-0.004995833333333334
2025-02-10,frozen_lag7,0.043136111111111104,0.0030922983333333326,0.02672638888888888
2025-02-11,frozen_lag7,0.03953749999999999,0.0024437479166666658,0.02069722222222222
2025-02-12,frozen_lag7,0.044407638888888885,0.003395566041666666,0.021829861111111112
2025-02-13,frozen_lag7,0.05364305555555556,0.004632567083333334,0.029173611111111115
2025-02-14,frozen_lag7,0.04500277777777778,0.003287494861111112,0.012938888888888896
2025-02-15,frozen_lag7,0.03733611111111111,0.0021191469444444447,0.0045041666666666685
2025-02-16,frozen_lag7,0.03430486111111111,0.0019067686805555556,0.011061805555555554
2025-02-17,frozen_lag7,0.0341125,0.0019554725,0.000711111111111118
2025-02-18,frozen_lag7,0.03575138888888888,0.002037788194444444,0.013970833333333337
2025-02-19,frozen_lag7,0.03846666666666668,0.0022451947222222233,0.009994444444444445
2025-02-20,frozen_lag7,0.03620069444444445,0.00190940201388889,-0.0020159722222222337
2025-02-21,frozen_lag7,0.03660833333333333,0.002097538333333334,0.010249999999999997
2025-02-22,frozen_lag7,0.033522916666666666,0.001873122569444444,0.0025631944444444417
2025-02-23,frozen_lag7,0.03893263888888889,0.002322946319444444,0.014943749999999993
2025-02-24,frozen_lag7,0.03705625,0.002101707430555556,0.00910347222222222
2025-02-25,frozen_lag7,0.04598472222222222,0.0034964397222222226,0.020425000000000002
2025-02-26,frozen_lag7,0.03988749999999999,0.002614843472222222,0.010891666666666666
2025-02-27,frozen_lag7,0.041761805555555566,0.00306236701388889,0.018895138888888906
2025-02-28,frozen_lag7,0.037295138888888885,0.0023354495138888883,0.004171527777777781
2025-03-01,frozen_lag7,0.04120347222222223,0.0026876250694444445,0.021061805555555556
2025-03-02,frozen_lag7,0.04558958333333333,0.0032413593749999994,0.0030854166666666677
2025-03-03,frozen_lag7,0.042131249999999995,0.0025957788194444446,-0.003600694444444447
2025-03-04,frozen_lag7,0.04432569444444444,0.0032970840972222225,-0.006531250000000006
2025-03-05,frozen_lag7,0.03601388888888889,0.0019238479166666666,0.011037500000000009
2025-03-06,frozen_lag7,0.03754791666666667,0.002353843819444445,0.006054861111111105
2025-03-07,frozen_lag7,0.04369097222222223,0.0033308361805555555,0.008177083333333337
2025-03-08,frozen_lag7,0.040070138888888884,0.002602443125,0.016959027777777778
2025-03-09,frozen_lag7,0.050635416666666676,0.004832870625000001,0.028484027777777785
2025-03-10,frozen_lag7,0.041366666666666656,0.0028008615277777776,0.009398611111111115
2025-03-11,frozen_lag7,0.03928194444444445,0.002768881805555556,0.011234722222222222
2025-03-12,frozen_lag7,0.040403472222222216,0.002582184513888888,0.014332638888888884
2025-03-13,frozen_lag7,0.045145833333333336,0.0034161384722222227,-0.007780555555555559
2025-03-14,frozen_lag7,0.04711180555555555,0.0033245578472222213,0.01711458333333333
2025-03-15,frozen_lag7,0.04032291666666667,0.0027534410416666668,-0.007509027777777768
