day_index,plan_day,issue_time,release_hour,anchor_day,anchor_slot,history_cutoff,residual_history_cutoff,risk_days,gate_days,first_slot,end_slot_exclusive,soc_at_issue_kwh,keep_score,new_score,accepted,reason,solve_seconds,max_residual,load_correction_kwh,settlement
0,2025-01-01,2025-01-01 06:00:00,6,0,34,2025-01-01 06:00:00,2025-01-01 06:00:00,[],[],35,71,7660.4603887037,,,False,keep_no_improvement_or_insufficient_history,0.04365823999978602,1.8189894035458565e-12,111.39599166666667,A
0,2025-01-01,2025-01-01 12:00:00,12,0,70,2025-01-01 12:00:00,2025-01-01 12:00:00,[],[],71,107,1489.1631750000001,,,False,keep_no_improvement_or_insufficient_history,0.01648199203191325,1.8189894035458565e-12,203.132975,A
0,2025-01-01,2025-01-01 18:00:00,18,0,106,2025-01-01 18:00:00,2025-01-01 18:00:00,[],[],107,144,1200.0,,,False,keep_no_improvement_or_insufficient_history,0.009609155997168273,0.0,119.62664166666664,A
1,2025-01-02,2025-01-02 06:00:00,6,1,34,2025-01-02 06:00:00,2025-01-02 06:00:00,[0],[],35,71,7664.3432885185175,,,False,keep_no_improvement_or_insufficient_history,0.014341735979542136,1.8189894035458565e-12,109.03925833333327,A
1,2025-01-02,2025-01-02 12:00:00,12,1,70,2025-01-02 12:00:00,2025-01-02 12:00:00,[0],[],71,107,1423.28874,,,False,keep_no_improvement_or_insufficient_history,0.029134980984963477,1.8189894035458565e-12,206.72716666666662,A
1,2025-01-02,2025-01-02 18:00:00,18,1,106,2025-01-02 18:00:00,2025-01-02 18:00:00,[0],[],107,144,1200.0,,,False,keep_no_improvement_or_insufficient_history,0.009538815007545054,0.0,109.36952499999998,A
2,2025-01-03,2025-01-03 06:00:00,6,2,34,2025-01-03 06:00:00,2025-01-03 06:00:00,"[0, 1]",[],35,71,10800.0,,,False,keep_no_improvement_or_insufficient_history,0.025806154997553676,1.1368683772161603e-13,-47.04838333333335,A
2,2025-01-03,2025-01-03 12:00:00,12,2,70,2025-01-03 12:00:00,2025-01-03 12:00:00,"[0, 1]",[],71,107,10800.0,,,False,keep_no_improvement_or_insufficient_history,0.012091038981452584,5.4569682106375694e-12,-249.14401666666663,A
2,2025-01-03,2025-01-03 18:00:00,18,2,106,2025-01-03 18:00:00,2025-01-03 18:00:00,"[0, 1]",[],107,144,10800.0,,,False,keep_no_improvement_or_insufficient_history,0.014418734994251281,2.8421709430404007e-13,-373.14683333333335,A
