variant,schedule,cash_cost_yuan,emergency_kwh,end_soc_kwh,accepted_releases,saving_vs_fixed_contract_yuan
baseline,Fixed Q2 contract,14012090.207768975,156793.12703338824,4407.270645740739,0,0.0
A_6,06:00,13692223.162904598,59492.35170172423,4407.270645740739,129,319867.044864377
A_6_12,06:00 + 12:00,13628245.664428176,35188.13412603049,4407.270645740739,235,383844.54334079847
A,06:00 + 12:00 + 18:00,13532323.482237797,7653.658282127716,4407.270645740739,321,479766.7255311776
