template_block,actual_sequence_interval,charge_kwh,discharge_kwh
00:00-04:00,00:10-04:10,4499.999999999999,0.0
04:00-08:00,04:10-08:10,833.3333333333333,6365.8412
08:00-12:00,08:10-12:10,4787.964288065848,1702.9969833333334
12:00-16:00,12:10-16:10,5286.0351769547315,91.1013833333335
16:00-20:00,16:10-20:10,0.0,5780.1318833333335
20:00-24:00,20:10-00:10+1,5333.333333333333,2859.8681166666665
