schedule,intervals,q0_kwh,qfinal_kwh,base_plan_cost_yuan,up_adjustment_cost_yuan,down_refund_B_yuan,down_penalty_A_yuan,ordinary_cost_B_yuan,ordinary_cost_A_yuan,emergency_kwh,emergency_cost_yuan,total_cash_B_yuan,total_cash_A_revaluation_yuan,unused_supply_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,start_soc_kwh,end_soc_kwh,accepted_updates
M0,48096,20754956.76972593,20754956.76972593,12644284.244936602,0.0,0.0,0.0,12644284.244936602,12644284.244936602,361962.0870299757,2211764.5497680698,14856048.794704672,14856048.794704672,1956574.6701212304,6442389.308889283,5221234.617221275,1200.0,10800.0,9152.704917024075,5931.286004851852,0
M1,48096,20753407.975534048,20981134.679165035,12643643.436667085,283118.03627324844,-9367.012187450522,9367.012187450522,12917394.460752882,12936128.485127784,213054.37501593545,1358934.2034325632,14276328.664185446,14295062.688560348,2032249.883692112,6450783.960753413,5228034.285231221,1200.0,10800.0,9152.704917024075,5931.286004851852,119
M2,48096,20770860.52818228,20469280.05275836,12651069.395074058,294212.0366462555,-184278.1103572883,184278.1103572883,12761003.321363028,13129559.542077605,255512.19245411365,1647048.4094550041,14408051.730818033,14776607.95153261,1559437.988756159,6468758.097424237,5242593.335934587,1200.0,10800.0,9152.704917024075,5931.286004851852,291
M3,48096,20727027.784299925,20677038.593340173,12632542.63919194,813639.0158296882,-192718.44437394728,192718.44437394728,13253463.210647682,13638900.099395579,33453.87496998452,181426.4425374932,13434889.653185176,13820326.541933069,1549746.2911466903,6444505.048514521,5222948.366317718,1200.0,10800.0,9152.704917024075,5931.286004851852,528
