natural_day,block,charge_kwh,discharge_kwh,interval_count
2025-02-01,0:00-4:00,1879.2501933065819,18.89617166666659,24
2025-02-01,4:00-8:00,11.49432532921815,6329.008316666665,24
2025-02-01,8:00-12:00,4475.64095,977.6501999999999,24
2025-02-01,12:00-16:00,4575.600411069958,60.17316361111159,24
2025-02-01,16:00-20:00,49.17491833333327,5928.19341361111,24
2025-02-01,20:00-24:00,8516.233368333333,2703.5328216666667,24
2025-02-02,0:00-4:00,2066.5927058504767,35.01191333333338,24
2025-02-02,4:00-8:00,1184.2934399657063,869.1341638888889,24
2025-02-02,8:00-12:00,5117.996497777777,7455.163173333332,24
2025-02-02,12:00-16:00,5765.6911637448575,1360.6238324999995,24
2025-02-02,16:00-20:00,162.4396999999998,5265.367224858333,24
2025-02-02,20:00-24:00,8470.946100000001,3508.7311429749993,24
2025-02-03,0:00-4:00,2134.265452201647,44.54381999999964,24
2025-02-03,4:00-8:00,1033.6088370301786,740.3784844444443,24
2025-02-03,8:00-12:00,5110.261978333332,7431.891129999999,24
2025-02-03,12:00-16:00,6047.884060010286,1700.7721161111099,24
2025-02-03,16:00-20:00,115.48147611111153,5113.768542388882,24
2025-02-03,20:00-24:00,8498.935715833333,3435.020704516366,24
2025-02-04,0:00-4:00,2060.1550738473475,3.0493333333333794,24
2025-02-04,4:00-8:00,787.0739725651548,637.5299177777778,24
2025-02-04,8:00-12:00,5057.084928333334,7745.577765000002,24
2025-02-04,12:00-16:00,6657.409881893005,2420.058738888887,24
2025-02-04,16:00-20:00,84.72719222222224,5113.043406944449,24
2025-02-04,20:00-24:00,8427.086726666666,2933.4005008333334,24
2025-02-05,0:00-4:00,1979.4844893312788,0.0,24
2025-02-05,4:00-8:00,1182.5935312105655,740.2375133333334,24
2025-02-05,8:00-12:00,4687.301997222221,8339.244991111114,24
2025-02-05,12:00-16:00,7570.652433504801,1590.880739166666,24
2025-02-05,16:00-20:00,93.58928749999973,5068.352350133329,24
2025-02-05,20:00-24:00,8550.415904166664,3550.961933333333,24
2025-02-06,0:00-4:00,1840.4602889917635,0.0,24
2025-02-06,4:00-8:00,987.3075088751737,663.9145388888888,24
2025-02-06,8:00-12:00,5040.829526666666,7631.135948888888,24
2025-02-06,12:00-16:00,6601.305244687934,1908.147366388889,24
2025-02-06,16:00-20:00,166.28095222222282,4865.770564111111,24
2025-02-06,20:00-24:00,8419.807999166667,3684.1534149999998,24
2025-02-07,0:00-4:00,2115.7036633539024,32.59517333333338,24
2025-02-07,4:00-8:00,28.668253065845622,5867.82644683889,24
2025-02-07,8:00-12:00,4257.584283333334,1376.3880333333332,24
2025-02-07,12:00-16:00,4685.89038354595,20.193946388889117,24
2025-02-07,16:00-20:00,46.052635802466625,5811.308085402778,24
2025-02-07,20:00-24:00,8409.911808333332,2829.2502866666673,24
