day_index,plan_day,issue_time,release_hour,anchor_day,anchor_slot,history_cutoff,residual_history_cutoff,risk_days,gate_days,first_slot,end_slot_exclusive,soc_at_issue_kwh,keep_score,new_score,accepted,reason,solve_seconds,max_residual,load_correction_kwh,settlement
78,2025-03-20,2025-03-20 06:00:00,6,78,34,2025-03-20 06:00:00,2025-03-20 06:00:00,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",35,71,10443.91953953703,27770.089819174456,28493.156724248955,False,keep_no_improvement_or_insufficient_history,0.03194453101605177,4.547473508864641e-13,-6.045445833333284,B
78,2025-03-20,2025-03-20 12:00:00,12,78,70,2025-03-20 12:00:00,2025-03-20 12:00:00,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",71,107,4398.783803821433,37465.574747832376,28702.038497382408,True,heldout_improvement,0.023880368971731514,1.8189894035458565e-12,2.2703791666666953,B
78,2025-03-20,2025-03-20 18:00:00,18,78,106,2025-03-20 18:00:00,2025-03-20 18:00:00,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",107,144,10800.0,12860.947092468825,12750.615955326211,True,heldout_improvement,0.012337105988990515,1.3393730569077889e-12,1.2539416666666814,B
79,2025-03-21,2025-03-21 06:00:00,6,79,34,2025-03-21 06:00:00,2025-03-21 06:00:00,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]","[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",35,71,3759.7689576634466,10849.62452694388,8778.482824777535,True,heldout_improvement,0.02354496903717518,1.8189894035458565e-12,5.278774999999958,B
79,2025-03-21,2025-03-21 12:00:00,12,79,70,2025-03-21 12:00:00,2025-03-21 12:00:00,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]","[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",71,107,10800.0,8451.64134492361,7788.839820768578,True,heldout_improvement,0.02697440900374204,9.094947017729282e-13,7.672737500000001,B
79,2025-03-21,2025-03-21 18:00:00,18,79,106,2025-03-21 18:00:00,2025-03-21 18:00:00,"[51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]","[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",107,144,10800.0,3773.2412365668943,3773.328990814595,False,keep_no_improvement_or_insufficient_history,0.012116376019548625,1.3642420526593924e-12,-4.174454166666654,B
80,2025-03-22,2025-03-22 06:00:00,6,80,34,2025-03-22 06:00:00,2025-03-22 06:00:00,"[52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",35,71,4532.58620844129,10373.937998226393,10077.481038440003,True,heldout_improvement,0.03697449300670996,1.3642420526593924e-12,3.9335750000000567,B
80,2025-03-22,2025-03-22 12:00:00,12,80,70,2025-03-22 12:00:00,2025-03-22 12:00:00,"[52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",71,107,10592.382815043658,7409.440599800779,7303.215283565229,True,heldout_improvement,0.03335187799530104,2.7284841053187847e-12,-12.464891666666668,B
80,2025-03-22,2025-03-22 18:00:00,18,80,106,2025-03-22 18:00:00,2025-03-22 18:00:00,"[52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]","[38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",107,144,10800.0,3979.131680436759,3979.2069638081703,False,keep_no_improvement_or_insufficient_history,0.011030055000446737,1.3073986337985843e-12,-6.457083333333344,B
