plan_day,cash_baseline,emergency_baseline,soc_end_baseline,soc_start_baseline,slots_baseline,cash_candidate,emergency_candidate,soc_end_candidate,soc_start_candidate,slots_candidate,cash_saving_yuan
2025-02-01,19584.364681679646,0.0,10763.422721872588,10300.422321388887,144,19583.860281146313,0.0,10763.422721872588,10300.422321388887,144,0.5044005333329551
2025-02-02,59207.04643664654,0.0,5795.003375925927,10763.422721872588,144,59197.07942903321,0.0,5795.003375925927,10763.422721872588,144,9.967007613326132
2025-02-03,62432.442810927896,0.0,5331.946156899076,5795.003375925927,144,62418.03929097419,0.0,5331.946156899076,5795.003375925927,144,14.403519953702926
2025-02-04,63149.03978822314,0.0,5228.991917666665,5331.946156899076,144,63144.45657554315,0.0,5228.991917666665,5331.946156899076,144,4.583212679994176
2025-02-05,63924.81240136464,0.0,5498.736041666668,5228.991917666665,144,63916.1684030913,0.0,5498.736041666668,5228.991917666665,144,8.643998273335455
2025-02-06,63985.39862335026,0.0,5777.334114142969,5498.736041666668,144,63979.58898440136,0.0,5776.704366809864,5498.736041666668,144,5.809638948900101
2025-02-07,19084.721199106858,0.0,10356.503049074074,5777.334114142969,144,19079.611564581723,0.0,10356.503049074074,5776.704366809864,144,5.109634525135334
2025-02-08,16047.27996970687,0.0,10158.339259740284,10356.503049074074,144,16041.587925444703,0.0,10158.339259740284,10356.503049074074,144,5.692044262166746
2025-02-09,59833.55633154449,347.4822044364699,6464.044990740739,10158.339259740284,144,61039.1117327368,0.0,7763.923300629546,10158.339259740284,144,-1205.5554011923086
2025-02-10,60162.80876077633,0.0,8177.350750629633,6464.044990740739,144,59483.53145440096,0.0,8177.350750629633,7763.923300629546,144,679.2773063753702
2025-02-11,56895.745411882606,0.0,4851.8153524259205,8177.350750629633,144,56885.202919718606,0.0,4851.8153524259205,8177.350750629633,144,10.542492164000578
2025-02-12,59363.68437655159,0.0,8521.125790592598,4851.8153524259205,144,59352.14530689408,0.0,8521.125790592598,4851.8153524259205,144,11.539069657505024
2025-02-13,57677.95326166107,0.0,9688.386625356488,8521.125790592598,144,57671.72986144399,0.0,9688.386625356488,8521.125790592598,144,6.223400217073504
2025-02-14,15524.504529704302,0.0,10086.8349045,9688.386625356488,144,15516.460053784302,0.0,10086.8349045,9688.386625356488,144,8.044475919999968
2025-02-15,16113.457472483304,203.9077100000021,9835.08808953704,10086.8349045,144,16001.19492066237,0.0,10189.69749899846,10086.8349045,144,112.26255182093337
2025-02-16,57295.36594869728,768.4660755659933,6988.054828796296,9835.08808953704,144,55238.719927078724,167.79809235000295,7493.316869224537,10189.69749899846,144,2056.6460216185587
2025-02-17,54125.6835171999,0.0,7397.918388767719,6988.054828796296,144,53915.265691964945,0.0,7397.918388767719,7493.316869224537,144,210.41782523495203
2025-02-18,51544.66996590139,0.0,5082.641529333332,7397.918388767719,144,52717.53077694589,0.0,5759.306467602621,7397.918388767719,144,-1172.8608110444984
2025-02-19,63288.94400194238,2312.387408566664,5318.367927222222,5082.641529333332,144,57578.7499270255,872.415101402926,5318.367927222222,5759.306467602621,144,5710.194074916879
2025-02-20,52743.77095242818,300.0497112333361,5593.562652037036,5318.367927222222,144,53430.36753314676,8.202134999999885,5593.562652037036,5318.367927222222,144,-686.5965807185785
2025-02-21,16861.822338805665,112.99455809999915,10138.719884185191,5593.562652037036,144,16917.398459532997,0.0,10138.719884185191,5593.562652037036,144,-55.57612072733173
2025-02-22,16341.729300623521,368.72151493333354,9891.415156851852,10138.719884185191,144,15822.972700917771,6.9194447916662725,10340.837226959777,10138.719884185191,144,518.75659970575
2025-02-23,49652.18922717619,113.01074990000308,6619.463921987658,9891.415156851852,144,50512.30075405967,0.0,6650.888296580254,10340.837226959777,144,-860.1115268834837
2025-02-24,51375.0722365563,25.751363333333305,5970.25689109259,6619.463921987658,144,51921.67125257436,25.751363333333188,6304.864970648238,6650.888296580254,144,-546.599016018059
2025-02-25,49158.557688544846,23.785000000000082,6962.443560592596,5970.25689109259,144,49796.95564727346,23.784999999999854,7242.736854633088,6304.864970648238,144,-638.3979587286158
2025-02-26,47363.9704027729,0.0,5032.619218078748,6962.443560592596,144,48552.088985649876,0.0,5534.84345680314,7242.736854633088,144,-1188.118582876974
2025-02-27,52445.74760541262,810.163813539771,9629.087030987856,5032.619218078748,144,52212.664085952056,816.5194569727125,9629.087030987856,5534.84345680314,144,233.08351946056064
2025-02-28,13853.834060351817,0.0,9982.669966629855,9629.087030987856,144,13853.840626606818,0.0,9982.669966629855,9629.087030987856,144,-0.006566255000507226
2025-03-01,14626.855813422368,135.14630685000543,10058.444560092594,9982.669966629855,144,14447.361527029874,0.0,10277.866109145834,9982.669966629855,144,179.49428639249345
2025-03-02,70126.39336162701,3815.648809807819,7004.725612499999,10058.444560092594,144,55022.41076805136,0.0,7154.440844550926,10277.866109145834,144,15103.982593575645
2025-03-03,52662.79048942655,438.8916731666675,6174.195048703704,7004.725612499999,144,51053.714006239126,0.0,6321.797431162809,7154.440844550926,144,1609.0764831874258
2025-03-04,52851.73358914501,0.0,5967.200117546025,6174.195048703704,144,52783.857347465426,0.0,5967.200117546025,6321.797431162809,144,67.87624167958711
2025-03-05,52037.343742528494,0.0,7783.808814830363,5967.200117546025,144,52029.0768730285,0.0,7783.808814830363,5967.200117546025,144,8.266869499995664
2025-03-06,49696.436020798465,0.0,9928.362383870382,7783.808814830363,144,49694.84008433921,0.0,9928.362383870382,7783.808814830363,144,1.595936459256336
2025-03-07,13561.590386100957,0.0,10407.031889537033,9928.362383870382,144,14040.504600525233,0.0,10799.294928739197,9928.362383870382,144,-478.914214424276
2025-03-08,13089.944759067337,0.0,10288.669751833331,10407.031889537033,144,12953.253431706755,0.0,10288.669751833331,10799.294928739197,144,136.69132736058236
2025-03-09,45393.929702283654,0.0,7830.520064566836,10288.669751833331,144,45389.078441616984,0.0,7830.520064566836,10288.669751833331,144,4.851260666669987
2025-03-10,47369.31095373936,0.0,7131.020203526478,7830.520064566836,144,47368.86346114746,0.0,7129.921873526478,7830.520064566836,144,0.4474925918984809
2025-03-11,49534.31037820015,0.0,10018.905225129629,7131.020203526478,144,49532.51651207015,0.0,10018.905225129629,7129.921873526478,144,1.7938661299995147
2025-03-12,44809.32385873819,0.0,6431.827650199809,10018.905225129629,144,44810.72972806111,0.0,6431.827650199811,10018.905225129629,144,-1.40586932291626
2025-03-13,61387.730030140636,2747.4981189567875,6255.947497685183,6431.827650199809,144,49914.78776027919,0.0,6260.049156918383,6431.827650199811,144,11472.942269861443
2025-03-14,13762.762694828676,0.0,10559.57051198148,6255.947497685183,144,14301.255800589734,0.0,10800.0,6260.049156918383,144,-538.4931057610574
2025-03-15,13534.701963487754,294.79151938806535,9854.720981721668,10559.57051198148,144,13268.981961585749,89.14742868055619,9876.085326166112,10800.0,144,265.7200019020056
2025-03-16,42998.260159267025,1.6400000000001,8092.937520232224,9854.720981721668,144,45479.450002438476,1.6399999999999864,8151.958886269259,9876.085326166112,144,-2481.189843171451
2025-03-17,41527.544604115516,0.0,5039.247402935076,8092.937520232224,144,42256.465833888935,0.0,5158.182938240743,8151.958886269259,144,-728.9212297734193
2025-03-18,45594.395860506665,268.7047394499999,9489.955278240748,5039.247402935076,144,45315.05452169523,0.0,9667.057345185189,5158.182938240743,144,279.341338811435
2025-03-19,39028.56341129589,0.0,5585.300217648144,9489.955278240748,144,39759.18810449299,0.0,5630.6210620925885,9667.057345185189,144,-730.6246931971036
2025-03-20,52614.51351992393,1868.5449837082335,7091.200593703703,5585.300217648144,144,44090.61268611478,0.0,7180.76168374163,5630.6210620925885,144,8523.900833809152
2025-03-21,13994.51655201561,315.9503865833326,10209.486460462962,7091.200593703703,144,14069.100089665335,0.0,10422.82825977778,7180.76168374163,144,-74.58353764972526
2025-03-22,12320.844491071613,0.0,10491.58302095445,10209.486460462962,144,12988.97855499008,0.0,10616.652837074078,10422.82825977778,144,-668.1340639184673
2025-03-23,38534.05046452973,0.0,6534.458547129626,10491.58302095445,144,42305.923885552416,0.0,6831.858148526233,10616.652837074078,144,-3771.873421022683
2025-03-24,41097.27680141086,0.0,7145.811573416941,6534.458547129626,144,42560.49619519008,0.0,7524.009425930977,6831.858148526233,144,-1463.219393779218
2025-03-25,44546.14275512669,934.8625226083338,6753.124426481482,7145.811573416941,144,41420.14112716691,0.0,6769.481073722221,7524.009425930977,144,3126.0016279597767
2025-03-26,37935.514682920344,0.0,7355.077049351853,6753.124426481482,144,40383.0101133382,0.0,7369.013545648148,6769.481073722221,144,-2447.4954304178536
2025-03-27,39602.052250820234,0.0,7866.112504851858,7355.077049351853,144,40964.36554386635,0.0,8285.414770166673,7369.013545648148,144,-1362.3132930461143
2025-03-28,13073.317124058789,228.89545508333083,10508.674456666668,7866.112504851858,144,12504.14745627255,0.0,10508.674456666668,8285.414770166673,144,569.1696677862383
2025-03-29,11697.121402061082,0.0,10389.633602500006,10508.674456666668,144,12591.957609393248,0.0,10800.0,10508.674456666668,144,-894.8362073321659
2025-03-30,36712.46264172929,0.0,8191.159460798658,10389.633602500006,144,37044.1036893987,0.0,8200.95751814815,10800.0,144,-331.64104766940727
2025-03-31,39414.77439919606,580.568726019543,5607.5506350000005,8191.159460798658,144,38348.85533811129,0.0,6015.809501240744,8200.95751814815,144,1065.9190610847727
2025-04-01,60683.45826478684,3840.5557134311634,3732.4796770499993,5607.5506350000005,144,45262.407179932874,0.0,3785.147108179626,6015.809501240744,144,15421.051084853963
2025-04-02,69622.13415271537,5242.58031298848,8355.524066296297,3732.4796770499993,144,51265.62412352792,57.565233195471365,8355.524066296297,3785.147108179626,144,18356.510029187448
2025-04-03,39585.50602727633,156.62562166667075,7382.734704617077,8355.524066296297,144,40062.76136426681,0.0,7390.473150450408,8355.524066296297,144,-477.2553369904781
2025-04-04,12405.733719309625,0.0,10800.0,7382.734704617077,144,12403.245267283,0.0,10800.0,7390.473150450408,144,2.488452026624145
2025-04-05,11433.008413589416,0.0,10143.509353407408,10800.0,144,11433.008413589416,0.0,10143.509353407408,10800.0,144,0.0
2025-04-06,38683.14594325316,0.0,9227.33129789223,10143.509353407408,144,38849.64103947216,0.0,9227.33129789223,10143.509353407408,144,-166.4950962189978
2025-04-07,35733.24057178939,0.0,6783.88291537037,9227.33129789223,144,35731.28063642888,0.0,6783.88291537037,9227.33129789223,144,1.9599353605153738
2025-04-08,39638.62491217653,800.111195249998,6877.275608333333,6783.88291537037,144,37615.179606343154,0.0,6905.768999484568,6783.88291537037,144,2023.4453058333747
2025-04-09,53395.14914923416,2599.5718604039052,7691.560487962964,6877.275608333333,144,41435.118862750176,0.0,7877.867256106775,6905.768999484568,144,11960.030286483983
2025-04-10,37171.23039091193,78.05825290849725,5121.521975555555,7691.560487962964,144,37821.91886200353,78.05825290849725,5121.521975555555,7877.867256106775,144,-650.6884710915983
2025-04-11,12911.585983869361,0.0,10615.670204981478,5121.521975555555,144,12912.15407286936,0.0,10615.670204981478,5121.521975555555,144,-0.5680889999985084
2025-04-12,11148.634249214138,0.0,10556.98362738889,10615.670204981478,144,11151.936683225395,0.0,10556.98362738889,10615.670204981478,144,-3.3024340112569917
2025-04-13,35205.90422310201,56.09629124999867,7251.022573425927,10556.98362738889,144,35392.26690585526,0.0,7506.496575009229,10556.98362738889,144,-186.36268275324983
2025-04-14,34379.37320294879,22.936267734229784,5363.766145599228,7251.022573425927,144,34414.11017661767,0.0,5363.766145599228,7506.496575009229,144,-34.736973668885184
2025-04-15,36086.83038143514,0.0,8828.731303968903,5363.766145599228,144,36091.67658211181,0.0,8828.731303968903,5363.766145599228,144,-4.8462006766712875
2025-04-16,36892.814844248394,278.65809863293157,5613.571859999998,8828.731303968903,144,36566.784516101994,0.0,6071.080284213898,8828.731303968903,144,326.0303281464003
2025-04-17,37445.64110252573,0.0,8047.654038759261,5613.571859999998,144,37323.58165421116,0.0,8078.798877648918,6071.080284213898,144,122.059448314576
2025-04-18,11336.840221839746,0.0,10800.0,8047.654038759261,144,11325.101180841288,0.0,10800.0,8078.798877648918,144,11.739040998458222
2025-04-19,10144.034964691255,0.0,9854.605403408328,10800.0,144,10359.656817974337,0.0,9854.605403408328,10800.0,144,-215.6218532830826
2025-04-20,34057.42110835692,273.3848370666686,6535.482862055551,9854.605403408328,144,34206.87865570132,0.0,6858.06940414969,9854.605403408328,144,-149.4575473444056
2025-04-21,33247.72831021725,0.0,6342.553534999998,6535.482862055551,144,33165.009667374885,0.0,6342.553534999998,6858.06940414969,144,82.71864284236653
2025-04-22,35233.2122280045,0.0,8840.860317743482,6342.553534999998,144,36988.79201442116,0.0,8840.860317743482,6342.553534999998,144,-1755.5797864166598
2025-04-23,33747.85316501554,0.0,7865.635024222228,8840.860317743482,144,33742.36622737804,0.0,7865.635024222228,8840.860317743482,144,5.486937637499068
2025-04-24,33748.687752642276,0.0,5750.844526895294,7865.635024222228,144,34314.52199416618,0.0,5876.659965147202,7865.635024222228,144,-565.8342415239022
2025-04-25,11551.886939712975,0.0,10454.106597500002,5750.844526895294,144,11511.068037040011,0.0,10454.106597500002,5876.659965147202,144,40.818902672963304
2025-04-26,11490.120266447318,308.9732609578157,10331.5498137037,10454.106597500002,144,11191.946094715588,0.0,10694.449854506172,10454.106597500002,144,298.1741717317309
2025-04-27,35542.10921360768,1098.7519541499973,4880.748017685185,10331.5498137037,144,32242.51510988046,0.0,5269.672902147692,10694.449854506172,144,3299.594103727217
2025-04-28,69736.04278440392,5812.363749699999,5791.0044375,4880.748017685185,144,43545.997889594735,0.0,6153.818826596254,5269.672902147692,144,26190.044894809187
2025-04-29,32593.42838111949,0.0,4077.107246246853,5791.0044375,144,32435.442487200344,0.0,4077.107246246853,6153.818826596254,144,157.9858939191472
2025-04-30,37474.114314354345,0.0,8238.546252185182,4077.107246246853,144,37469.22710440601,0.0,8238.546252185182,4077.107246246853,144,4.887209948334203
2025-05-01,45714.49370452764,2038.7118979499983,4871.325678703704,8238.546252185182,144,41507.151037997246,715.0221446152788,4892.491218442129,8238.546252185182,144,4207.342666530392
2025-05-02,25551.948749487357,2704.459601283338,9505.558764351856,4871.325678703704,144,16959.468860939636,307.9704855256975,9646.402754226858,4892.491218442129,144,8592.479888547721
2025-05-03,12076.946922723184,39.11507333333286,8396.35724388889,9505.558764351856,144,12204.55302910192,39.11507333333286,8396.35724388889,9646.402754226858,144,-127.60610637873651
2025-05-04,39217.93151481074,5.996950000000084,6945.337228574073,8396.35724388889,144,39246.29787435807,5.99694999999997,6945.337228574073,8396.35724388889,144,-28.366359547326283
2025-05-05,45344.40830719847,1391.7371142000093,6907.341695555555,6945.337228574073,144,40274.593385658605,396.6619916666691,6907.341695555555,6945.337228574073,144,5069.814921539866
2025-05-06,40296.68123608657,702.3511352333305,7888.24891861111,6907.341695555555,144,37800.352310374205,0.0,7888.24891861111,6907.341695555555,144,2496.328925712369
2025-05-07,42935.49839730468,617.9800033166661,7898.608592776853,7888.24891861111,144,40951.5123040391,320.71605783333496,7793.557337500001,7888.24891861111,144,1983.9860932655793
2025-05-08,39693.997157315614,685.2585970499961,3470.2133501851854,7898.608592776853,144,36647.24051416781,0.0,3871.12476523303,7793.557337500001,144,3046.7566431478044
2025-05-09,15052.024698017425,45.642014850000734,9831.658849629628,3470.2133501851854,144,14991.62753403744,0.0,9831.658849629628,3871.12476523303,144,60.397163979985635
2025-05-10,12981.194475265414,0.0,9446.605452870372,9831.658849629628,144,12988.675786246247,0.0,9446.605452870372,9831.658849629628,144,-7.481310980832859
2025-05-11,39467.563764485014,59.51626666666675,4023.42331348194,9446.605452870372,144,39476.82774633996,59.51626666666641,4023.42331348194,9446.605452870372,144,-9.263981854943268
2025-05-12,39462.51316275481,0.0,5169.398465556697,4023.42331348194,144,39474.308559601515,0.0,5169.398465556697,4023.42331348194,144,-11.795396846704534
2025-05-13,38994.703082476066,0.0,3789.729431518523,5169.398465556697,144,39006.72405622606,0.0,3789.729431518523,5169.398465556697,144,-12.02097374999721
2025-05-14,38973.13108738275,0.0,6719.397704166664,3789.729431518523,144,39654.13137957941,0.0,6719.397704166664,3789.729431518523,144,-681.0002921966588
2025-05-15,36506.04933542457,0.0,5666.560482644856,6719.397704166664,144,38476.33959703106,0.0,6562.107254386968,6719.397704166664,144,-1970.2902616064894
2025-05-16,14866.605263830994,0.0,10412.246805296296,5666.560482644856,144,14551.998441756192,0.0,10412.246805296296,6562.107254386968,144,314.60682207480204
2025-05-17,13520.917452570096,0.0,9862.56083351852,10412.246805296296,144,13518.419843789796,0.0,9862.56083351852,10412.246805296296,144,2.497608780300652
2025-05-18,34399.97374798701,0.0,5106.969840518507,9862.56083351852,144,37875.10440878828,0.0,5684.2534215925925,9862.56083351852,144,-3475.1306608012674
2025-05-19,37712.875244882285,0.0,6365.486379627347,5106.969840518507,144,37425.73409658605,0.0,6365.486379627347,5684.2534215925925,144,287.14114829623577
2025-05-20,38472.67795979138,0.0,5579.996329413519,6365.486379627347,144,38469.02180130833,0.0,5579.996329413519,6365.486379627347,144,3.6561584830487845
2025-05-21,36636.47045114491,0.0,4825.558774717425,5579.996329413519,144,37536.45395953118,0.0,5687.411220351851,5579.996329413519,144,-899.9835083862708
2025-05-22,36983.504532196595,0.0,6880.260613873538,4825.558774717425,144,36558.10602202615,0.0,6880.260613873538,5687.411220351851,144,425.39851017044566
2025-05-23,13656.264863468057,0.0,10686.726309907408,6880.260613873538,144,13689.698045579831,0.0,10686.726309907408,6880.260613873538,144,-33.43318211177393
2025-05-24,13103.53757483071,0.0,10350.789700370373,10686.726309907408,144,13098.007642309045,0.0,10350.789700370373,10686.726309907408,144,5.529932521665614
2025-05-25,35232.315034537605,0.0,6500.528787676265,10350.789700370373,144,35219.61784760344,0.0,6500.528787676265,10350.789700370373,144,12.697186934165074
2025-05-26,37297.82305467578,0.0,5850.487660648152,6500.528787676265,144,37520.142159075716,0.0,5850.487660648152,6500.528787676265,144,-222.31910439993953
2025-05-27,35830.104963474725,0.0,6364.865052462963,5850.487660648152,144,36066.5756380571,0.0,6364.865052462963,5850.487660648152,144,-236.47067458237143
2025-05-28,34999.287063282274,0.0,4659.967179330126,6364.865052462963,144,36539.0341139639,0.0,4999.606343999998,6364.865052462963,144,-1539.7470506816244
2025-05-29,44946.694232237605,1406.9348085944396,4306.794345277778,4659.967179330126,144,42963.84661649542,0.0,5652.6953235432175,4999.606343999998,144,1982.8476157421828
2025-05-30,15149.071570647475,179.72509281666083,10257.29016,4306.794345277778,144,14515.851304796051,0.0,10800.0,5652.6953235432175,144,633.2202658514234
2025-05-31,11971.254985047215,0.0,10707.299074074072,10257.29016,144,11953.871681508943,0.0,10707.299074074072,10800.0,144,17.38330353827223
2025-06-01,114480.14076004206,12110.073975752233,3660.1360865740735,10707.299074074072,144,59296.87164860637,35.08894833333318,4148.065031400464,10707.299074074072,144,55183.26911143569
2025-06-02,98278.57719919946,8680.220387000498,2990.8224301851847,3660.1360865740735,144,56076.24459881178,31.795404374999865,3677.779925739196,4148.065031400464,144,42202.33260038767
2025-06-03,80522.13737738441,5409.69650868333,3287.646042500001,2990.8224301851847,144,58489.74044660087,0.0,4489.832878938932,3677.779925739196,144,22032.396930783543
2025-06-04,53057.95196317962,25.651451666666162,4473.097077851854,3287.646042500001,144,53166.75115918483,15.049708333333,4494.020466740742,4489.832878938932,144,-108.79919600520952
2025-06-05,57088.8083341761,734.2953744930008,4447.787676759259,4473.097077851854,144,55239.15762571912,31.880403333333447,4988.416427640634,4494.020466740742,144,1849.650708456982
2025-06-06,30874.768342567986,2080.656000399997,7071.503399833336,4447.787676759259,144,23014.391380893445,0.0,7723.148277963265,4988.416427640634,144,7860.376961674541
2025-06-07,22613.925598072674,684.5647034666674,6758.105360111111,7071.503399833336,144,21098.747678323012,0.0,8023.285916898139,7723.148277963265,144,1515.1779197496617
2025-06-08,58304.15506524518,0.0,5902.343472851846,6758.105360111111,144,57830.02580277855,0.0,5948.484620768513,8023.285916898139,144,474.1292624666239
2025-06-09,58194.19358893962,4.383333333333439,5309.275541870367,5902.343472851846,144,58209.0083852275,4.383333333333326,5309.275541870367,5948.484620768513,144,-14.81479628787929
2025-06-10,61954.67865891256,0.0,5302.655415473482,5309.275541870367,144,61978.177188378395,0.0,5302.655415473482,5309.275541870367,144,-23.49852946583269
2025-06-11,60193.41742931141,154.07107101666696,5248.7618654814805,5302.655415473482,144,60210.85301819808,154.07107101666696,5248.7618654814805,5302.655415473482,144,-17.435588886670303
2025-06-12,56414.39952843873,0.0,4061.3748485594697,5248.7618654814805,144,56470.71179396365,0.0,4061.3748485594697,5248.7618654814805,144,-56.31226552492444
2025-06-13,20821.945177206737,0.0,8781.917990037036,4061.3748485594697,144,20830.055380317735,0.0,8781.917990037036,4061.3748485594697,144,-8.110203110998555
2025-06-14,20984.071772777916,0.0,8848.612149305442,8781.917990037036,144,20998.845252886564,0.0,8848.612149305442,8781.917990037036,144,-14.773480108648073
2025-06-15,62497.54196474489,0.0,8256.1380132963,8848.612149305442,144,62527.313462974314,0.0,8256.1380132963,8848.612149305442,144,-29.77149822942738
2025-06-16,63280.97510810395,0.0,7186.432443777774,8256.1380132963,144,63284.15442479395,0.0,7186.432443777774,8256.1380132963,144,-3.1793166900024517
2025-06-17,56474.849487243664,0.0,5119.712543739604,7186.432443777774,144,56463.937492998666,0.0,5119.712543739604,7186.432443777774,144,10.911994244997913
2025-06-18,58095.1644814281,0.0,6026.995755169355,5119.712543739604,144,58090.3622606731,0.0,6026.995755169355,5119.712543739604,144,4.802220755002054
2025-06-19,58982.78453253947,0.0,7966.884475885715,6026.995755169355,144,58986.877511404695,0.0,7966.884475885715,6026.995755169355,144,-4.0929788652283605
2025-06-20,20978.235174405578,0.0,10800.0,7966.884475885715,144,20976.36715646874,0.0,10800.0,7966.884475885715,144,1.8680179368384415
2025-06-21,19185.302671250432,0.0,9305.537003185187,10800.0,144,19185.302671250432,0.0,9305.537003185187,10800.0,144,0.0
2025-06-22,55598.726382333305,0.0,6945.45097808128,9305.537003185187,144,55581.001711123536,0.0,6945.45097808128,9305.537003185187,144,17.72467120976944
2025-06-23,53161.50612161846,0.0,6326.685899907409,6945.45097808128,144,53144.64895090346,0.0,6326.685899907409,6945.45097808128,144,16.85717071500403
2025-06-24,82848.45873351846,4770.687605708445,3232.362622444444,6326.685899907409,144,59475.02192277471,0.0,4349.445885251413,6326.685899907409,144,23373.436810743755
2025-06-25,57786.633062606146,0.0,6704.874981095707,3232.362622444444,144,57227.33386915334,0.0,6704.874981095707,4349.445885251413,144,559.2991934528036
2025-06-26,55773.8737878478,0.0,4973.944080946297,6704.874981095707,144,55763.80283611849,0.0,4973.944080946297,6704.874981095707,144,10.070951729307126
2025-06-27,20232.494159712573,0.0,10800.0,4973.944080946297,144,20223.818409183823,0.0,10800.0,4973.944080946297,144,8.675750528749631
2025-06-28,18561.497752289542,0.0,10735.303703703705,10800.0,144,18561.497752289542,0.0,10735.303703703705,10800.0,144,0.0
