arm,model_id,target,n,mae_kw,rmse_kw,bias_kw
B0,Q2V2-SW2-REC5,load,21600,147.3473649699074,198.93692844636556,-1.16461705787037
B0,Q2V2-SW2-REC5,pv,21600,166.6441083212963,327.5307869308237,-13.127806789814812
Abl-L,Q2V3-HGBLOAD-REC5PV,load,21600,146.56011642467115,199.7594131486198,-27.80210307893218
Abl-L,Q2V3-HGBLOAD-REC5PV,pv,21600,166.6441083212963,327.5307869308237,-13.127806789814812
Abl-PV,Q2V3-SW2LOAD-HGBPV,load,21600,147.3473649699074,198.93692844636556,-1.16461705787037
Abl-PV,Q2V3-SW2LOAD-HGBPV,pv,21600,221.70345198851342,435.56679260935965,50.30323474854124
B1,Q2V3-HGBLOAD-HGBPV,load,21600,146.56011642467115,199.7594131486198,-27.80210307893218
B1,Q2V3-HGBLOAD-HGBPV,pv,21600,221.70345198851342,435.56679260935965,50.30323474854124
