arm,model_id,days,cash_cost_yuan,end_energy_kwh,terminal_adjustment_yuan,asset_adjusted_cost_yuan,asset_adjusted_saving_vs_b0_yuan,asset_adjusted_saving_vs_b0_fraction,emergency_kwh,daily_cost_cvar95_yuan,saving_at_least_0_1pct,block14_upper_below_zero,emergency_within_101pct,daily_cvar95_within_101pct,adoption_eligible
B0,Q2V2-SW2-REC5,150,5877440.040604276,7391.845370814808,-651.9403716893867,5876788.100232586,0.0,0.0,86650.0564079353,78203.31402983071,False,False,True,True,False
Abl-L,Q2V3-HGBLOAD-REC5PV,150,5838356.11201264,5156.407219568702,395.1388583537191,5838751.250870993,38036.849361592904,0.006472387418577763,81097.04253091212,77269.99103856842,True,False,True,True,False
Abl-PV,Q2V3-SW2LOAD-HGBPV,150,5863963.410830487,6919.452737638296,-430.67166231013834,5863532.739168176,13255.361064409837,0.002255545178476867,79217.87516402168,74975.9662367067,True,False,True,True,False
B1,Q2V3-HGBLOAD-HGBPV,150,5856861.302623287,4801.729679958132,561.2698179073632,5857422.572441194,19365.527791392058,0.0032952571134265717,80875.19688237578,73003.17646962398,True,False,True,True,False
